ENSGID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END
ENSG00000003402	CFLAR	CASP8 and FADD-like apoptosis regulator	protein_coding	2	201980827	202041410
ENSG00000003436	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	protein_coding	2	188328957	188430487
ENSG00000003509	NDUFAF7	NADH dehydrogenase (ubiquinone) complex I, assembly factor 7	protein_coding	2	37458857	37480546
ENSG00000003756	RBM5	RNA binding motif protein 5	protein_coding	3	50126341	50156454
ENSG00000003987	MTMR7	myotubularin related protein 7	protein_coding	8	17155539	17270836
ENSG00000003989	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	protein_coding	8	17354597	17428082
ENSG00000004059	ARF5	ADP-ribosylation factor 5	protein_coding	7	127228399	127231462
ENSG00000004139	SARM1	sterile alpha and TIR motif containing 1	protein_coding	17	26692138	26728065
ENSG00000004142	POLDIP2	polymerase (DNA-directed), delta interacting protein 2	protein_coding	17	26674036	26684545
ENSG00000004399	PLXND1	plexin D1	protein_coding	3	129274018	129325661
ENSG00000004455	AK2	adenylate kinase 2	protein_coding	1	33473585	33546597
ENSG00000004468	CD38	CD38 molecule	protein_coding	4	15779898	15854853
ENSG00000004478	FKBP4	FK506 binding protein 4, 59kDa	protein_coding	12	2904119	2914576
ENSG00000004487	KDM1A	lysine (K)-specific demethylase 1A	protein_coding	1	23345941	23410182
ENSG00000004534	RBM6	RNA binding motif protein 6	protein_coding	3	49977440	50114683
ENSG00000004660	CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1, alpha	protein_coding	17	3763609	3796338
ENSG00000004700	RECQL	RecQ protein-like (DNA helicase Q1-like)	protein_coding	12	21623903	21654603
ENSG00000004766	CCDC132	coiled-coil domain containing 132	protein_coding	7	92861653	92988338
ENSG00000004776	HSPB6	heat shock protein, alpha-crystallin-related, B6	protein_coding	19	36245773	36248980
ENSG00000004777	ARHGAP33	Rho GTPase activating protein 33	protein_coding	19	36265434	36279724
ENSG00000004779	NDUFAB1	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa	protein_coding	16	23592323	23607677
ENSG00000004799	PDK4	pyruvate dehydrogenase kinase, isozyme 4	protein_coding	7	95212811	95225803
ENSG00000004809	SLC22A16	solute carrier family 22 (organic cation/carnitine transporter), member 16	protein_coding	6	110745890	110797844
ENSG00000004838	ZMYND10	zinc finger, MYND-type containing 10	protein_coding	3	50378660	50384283
ENSG00000004846	ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	protein_coding	7	20654830	20816658
ENSG00000004864	SLC25A13	solute carrier family 25 (aspartate/glutamate carrier), member 13	protein_coding	7	95749532	95951459
ENSG00000004866	ST7	suppression of tumorigenicity 7	protein_coding	7	116654942	116870157
ENSG00000004897	CDC27	cell division cycle 27	protein_coding	17	45195069	45266788
ENSG00000004939	SLC4A1	solute carrier family 4 (anion exchanger), member 1 (Diego blood group)	protein_coding	17	42325753	42345509
ENSG00000004975	DVL2	dishevelled segment polarity protein 2	protein_coding	17	7128660	7137864
ENSG00000005001	PRSS22	protease, serine, 22	protein_coding	16	2902728	2908171
ENSG00000005007	UPF1	UPF1 regulator of nonsense transcripts homolog (yeast)	protein_coding	19	18942747	18979045
ENSG00000005020	SKAP2	src kinase associated phosphoprotein 2	protein_coding	7	26706681	27034858
ENSG00000005059	CCDC109B	coiled-coil domain containing 109B	protein_coding	4	110481361	110609784
ENSG00000005073	HOXA11	homeobox A11	protein_coding	7	27221129	27224136
ENSG00000005075	POLR2J	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa	protein_coding	7	102113616	102119354
ENSG00000005100	DHX33	DEAH (Asp-Glu-Ala-His) box polypeptide 33	protein_coding	17	5344232	5372380
ENSG00000005102	MEOX1	mesenchyme homeobox 1	protein_coding	17	41717756	41739322
ENSG00000005108	THSD7A	thrombospondin, type I, domain containing 7A	protein_coding	7	11409984	11871824
ENSG00000005156	LIG3	ligase III, DNA, ATP-dependent	protein_coding	17	33307513	33332083
ENSG00000005175	RPAP3	RNA polymerase II associated protein 3	protein_coding	12	48057070	48099844
ENSG00000005187	ACSM3	acyl-CoA synthetase medium-chain family member 3	protein_coding	16	20621565	20807446
ENSG00000005189	AC004381.6	Putative RNA exonuclease NEF-sp 	protein_coding	16	20817999	20860987
ENSG00000005194	CIAPIN1	cytokine induced apoptosis inhibitor 1	protein_coding	16	57462081	57481348
ENSG00000005206	SPPL2B	signal peptide peptidase like 2B	processed_transcript	19	2328620	2355099
ENSG00000005238	FAM214B	family with sequence similarity 214, member B	protein_coding	9	35104109	35116338
ENSG00000005243	COPZ2	coatomer protein complex, subunit zeta 2	protein_coding	17	46103533	46115392
ENSG00000005249	PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta	protein_coding	7	106685094	106802256
ENSG00000005339	CREBBP	CREB binding protein	protein_coding	16	3775055	3930727
ENSG00000005379	BZRAP1	benzodiazepine receptor (peripheral) associated protein 1	protein_coding	17	56378592	56406152
ENSG00000005381	MPO	myeloperoxidase	protein_coding	17	56347217	56358296
ENSG00000005421	PON1	paraoxonase 1	protein_coding	7	94926988	94954019
ENSG00000005436	GCFC2	GC-rich sequence DNA-binding factor 2	protein_coding	2	75879126	75938115
ENSG00000005448	WDR54	WD repeat domain 54	protein_coding	2	74648805	74652882
ENSG00000005469	CROT	carnitine O-octanoyltransferase	protein_coding	7	86974997	87029111
ENSG00000005471	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	protein_coding	7	87031013	87109751
ENSG00000005483	KMT2E	lysine (K)-specific methyltransferase 2E	protein_coding	7	104654769	104754808
ENSG00000005486	RHBDD2	rhomboid domain containing 2	protein_coding	7	75471920	75518244
ENSG00000005513	SOX8	SRY (sex determining region Y)-box 8	protein_coding	16	1031808	1036979
ENSG00000005700	IBTK	inhibitor of Bruton agammaglobulinemia tyrosine kinase	protein_coding	6	82879700	82957471
ENSG00000005801	ZNF195	zinc finger protein 195	protein_coding	11	3360491	3400448
ENSG00000005810	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase	protein_coding	13	77618792	77901185
ENSG00000005812	FBXL3	F-box and leucine-rich repeat protein 3	protein_coding	13	77566740	77601330
ENSG00000005844	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	protein_coding	16	30483979	30534506
ENSG00000005882	PDK2	pyruvate dehydrogenase kinase, isozyme 2	protein_coding	17	48172101	48187403
ENSG00000005884	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	protein_coding	17	48133332	48167845
ENSG00000005955	GGNBP2	gametogenetin binding protein 2	protein_coding	17	34900737	34946278
ENSG00000005961	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	protein_coding	17	42449548	42466873
ENSG00000005981	ASB4	ankyrin repeat and SOCS box containing 4	protein_coding	7	95107756	95169544
ENSG00000006007	GDE1	glycerophosphodiester phosphodiesterase 1	protein_coding	16	19513212	19533467
ENSG00000006015	C19orf60	chromosome 19 open reading frame 60	protein_coding	19	18699535	18703146
ENSG00000006016	CRLF1	cytokine receptor-like factor 1	protein_coding	19	18683418	18718551
ENSG00000006025	OSBPL7	oxysterol binding protein-like 7	protein_coding	17	45884738	45899200
ENSG00000006042	TMEM98	transmembrane protein 98	protein_coding	17	31254928	31272124
ENSG00000006047	YBX2	Y box binding protein 2	protein_coding	17	7191577	7197934
ENSG00000006071	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	protein_coding	11	17414432	17498449
ENSG00000006074	CCL18	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	protein_coding	17	34391640	34399392
ENSG00000006075	CCL3	chemokine (C-C motif) ligand 3	protein_coding	17	34415602	34417487
ENSG00000006114	SYNRG	synergin, gamma	protein_coding	17	35874900	35969544
ENSG00000006116	CACNG3	calcium channel, voltage-dependent, gamma subunit 3	protein_coding	16	24266874	24374122
ENSG00000006118	TMEM132A	transmembrane protein 132A	protein_coding	11	60691935	60704555
ENSG00000006125	AP2B1	adaptor-related protein complex 2, beta 1 subunit	protein_coding	17	33913918	34053436
ENSG00000006128	TAC1	tachykinin, precursor 1	protein_coding	7	97361220	97369784
ENSG00000006194	ZNF263	zinc finger protein 263	protein_coding	16	3313743	3341460
ENSG00000006210	CX3CL1	chemokine (C-X3-C motif) ligand 1	protein_coding	16	57406370	57418960
ENSG00000006282	SPATA20	spermatogenesis associated 20	protein_coding	17	48623667	48633213
ENSG00000006283	CACNA1G	calcium channel, voltage-dependent, T type, alpha 1G subunit	protein_coding	17	48638429	48704835
ENSG00000006327	TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A	protein_coding	16	3068486	3072384
ENSG00000006377	DLX6	distal-less homeobox 6	protein_coding	7	96634860	96640351
ENSG00000006432	MAP3K9	mitogen-activated protein kinase kinase kinase 9	protein_coding	14	71189243	71276251
ENSG00000006451	RALA	v-ral simian leukemia viral oncogene homolog A (ras related)	protein_coding	7	39663082	39747723
ENSG00000006453	BAIAP2L1	BAI1-associated protein 2-like 1	protein_coding	7	97920963	98030380
ENSG00000006459	JHDM1D	lysine (K)-specific demethylase 7A	protein_coding	7	139784546	139876835
ENSG00000006468	ETV1	ets variant 1	protein_coding	7	13930853	14031050
ENSG00000006530	AGK	acylglycerol kinase	protein_coding	7	141251105	141355044
ENSG00000006534	ALDH3B1	aldehyde dehydrogenase 3 family, member B1	protein_coding	11	67776048	67796743
ENSG00000006555	TTC22	tetratricopeptide repeat domain 22	protein_coding	1	55245385	55266940
ENSG00000006576	PHTF2	putative homeodomain transcription factor 2	protein_coding	7	77428122	77586818
ENSG00000006606	CCL26	chemokine (C-C motif) ligand 26	protein_coding	7	75398851	75419214
ENSG00000006607	FARP2	FERM, RhoGEF and pleckstrin domain protein 2	protein_coding	2	242295658	242431094
ENSG00000006611	USH1C	Usher syndrome 1C (autosomal recessive, severe)	protein_coding	11	17515442	17565963
ENSG00000006625	GGCT	gamma-glutamylcyclotransferase	protein_coding	7	30536237	30544460
ENSG00000006634	DBF4	DBF4 homolog (S. cerevisiae)	protein_coding	7	87505673	87538856
ENSG00000006638	TBXA2R	thromboxane A2 receptor	protein_coding	19	3594504	3606838
ENSG00000006652	IFRD1	interferon-related developmental regulator 1	protein_coding	7	112063023	112121045
ENSG00000006695	COX10	cytochrome c oxidase assembly homolog 10 (yeast)	protein_coding	17	13972813	14111994
ENSG00000006704	GTF2IRD1	GTF2I repeat domain containing 1	protein_coding	7	73868120	74016931
ENSG00000006712	PAF1	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)	protein_coding	19	39876492	39881835
ENSG00000006715	VPS41	vacuolar protein sorting 41 homolog (S. cerevisiae)	protein_coding	7	38762563	38971994
ENSG00000006740	ARHGAP44	Rho GTPase activating protein 44	protein_coding	17	12692856	12894960
ENSG00000006744	ELAC2	elaC ribonuclease Z 2	protein_coding	17	12895708	12921504
ENSG00000006747	SCIN	scinderin	protein_coding	7	12610475	12693228
ENSG00000006788	MYH13	myosin, heavy chain 13, skeletal muscle	protein_coding	17	10201401	10276447
ENSG00000006831	ADIPOR2	adiponectin receptor 2	protein_coding	12	1797740	1897844
ENSG00000006837	CDKL3	cyclin-dependent kinase-like 3	protein_coding	5	133621932	133706738
ENSG00000007001	UPP2	uridine phosphorylase 2	protein_coding	2	158733214	158992666
ENSG00000007038	PRSS21	protease, serine, 21 (testisin)	protein_coding	16	2867164	2876305
ENSG00000007047	MARK4	MAP/microtubule affinity-regulating kinase 4	protein_coding	19	45754516	45808541
ENSG00000007062	PROM1	prominin 1	protein_coding	4	15965871	16086001
ENSG00000007080	CCDC124	coiled-coil domain containing 124	protein_coding	19	18043825	18054800
ENSG00000007129	CEACAM21	carcinoembryonic antigen-related cell adhesion molecule 21	protein_coding	19	42055886	42093197
ENSG00000007168	PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)	protein_coding	17	2496504	2588909
ENSG00000007171	NOS2	nitric oxide synthase 2, inducible	protein_coding	17	26083792	26127525
ENSG00000007174	DNAH9	dynein, axonemal, heavy chain 9	protein_coding	17	11501748	11873065
ENSG00000007202	KIAA0100	KIAA0100	protein_coding	17	26941458	26972472
ENSG00000007216	SLC13A2	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	protein_coding	17	26800311	26824799
ENSG00000007237	GAS7	growth arrest-specific 7	protein_coding	17	9813926	10101868
ENSG00000007255	TRAPPC6A	trafficking protein particle complex 6A	protein_coding	19	45666186	45681495
ENSG00000007264	MATK	megakaryocyte-associated tyrosine kinase	protein_coding	19	3777971	3802127
ENSG00000007306	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7	protein_coding	19	42177235	42210895
ENSG00000007312	CD79B	CD79b molecule, immunoglobulin-associated beta	protein_coding	17	62006100	62009714
ENSG00000007314	SCN4A	sodium channel, voltage-gated, type IV, alpha subunit	protein_coding	17	62015914	62050278
ENSG00000007341	ST7L	suppression of tumorigenicity 7 like	protein_coding	1	113081781	113163447
ENSG00000007372	PAX6	paired box 6	protein_coding	11	31806340	31839509
ENSG00000007376	RPUSD1	RNA pseudouridylate synthase domain containing 1	protein_coding	16	834974	837981
ENSG00000007384	RHBDF1	rhomboid 5 homolog 1 (Drosophila)	protein_coding	16	108058	126354
ENSG00000007392	LUC7L	LUC7-like (S. cerevisiae)	protein_coding	16	238968	279462
ENSG00000007402	CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	protein_coding	3	50400233	50541675
ENSG00000007516	BAIAP3	BAI1-associated protein 3	protein_coding	16	1383602	1399240
ENSG00000007520	TSR3	TSR3, 20S rRNA accumulation, homolog (S. cerevisiae)	protein_coding	16	1399440	1401912
ENSG00000007541	PIGQ	phosphatidylinositol glycan anchor biosynthesis, class Q	protein_coding	16	616995	634136
ENSG00000007545	CRAMP1L	Crm, cramped-like (Drosophila)	protein_coding	16	1662326	1727909
ENSG00000007866	TEAD3	TEA domain family member 3	protein_coding	6	35441374	35464853
ENSG00000007908	SELE	selectin E	protein_coding	1	169691781	169733846
ENSG00000007923	DNAJC11	DnaJ (Hsp40) homolog, subfamily C, member 11	protein_coding	1	6695647	6761984
ENSG00000007933	FMO3	flavin containing monooxygenase 3	protein_coding	1	171060018	171086959
ENSG00000007944	MYLIP	myosin regulatory light chain interacting protein	protein_coding	6	16129356	16148479
ENSG00000007968	E2F2	E2F transcription factor 2	protein_coding	1	23832922	23857712
ENSG00000008018	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1	protein_coding	6	170844205	170862429
ENSG00000008083	JARID2	jumonji, AT rich interactive domain 2	protein_coding	6	15246527	15522252
ENSG00000008118	CAMK1G	calcium/calmodulin-dependent protein kinase IG	protein_coding	1	209757062	209787283
ENSG00000008128	CDK11A	cyclin-dependent kinase 11A	protein_coding	1	1634169	1655766
ENSG00000008130	NADK	NAD kinase	protein_coding	1	1682671	1711896
ENSG00000008196	TFAP2B	transcription factor AP-2 beta (activating enhancer binding protein 2 beta)	protein_coding	6	50786436	50815326
ENSG00000008226	DLEC1	deleted in lung and esophageal cancer 1	protein_coding	3	38080696	38165040
ENSG00000008256	CYTH3	cytohesin 3	protein_coding	7	6201407	6312275
ENSG00000008277	ADAM22	ADAM metallopeptidase domain 22	protein_coding	7	87563458	87832204
ENSG00000008282	SYPL1	synaptophysin-like 1	protein_coding	7	105730949	105753022
ENSG00000008283	CYB561	cytochrome b561	protein_coding	17	61509665	61523739
ENSG00000008294	SPAG9	sperm associated antigen 9	protein_coding	17	49039535	49198226
ENSG00000008300	CELSR3	cadherin, EGF LAG seven-pass G-type receptor 3	protein_coding	3	48673902	48700348
ENSG00000008311	AASS	aminoadipate-semialdehyde synthase	protein_coding	7	121716187	121784334
ENSG00000008323	PLEKHG6	pleckstrin homology domain containing, family G (with RhoGef domain) member 6	protein_coding	12	6419602	6437672
ENSG00000008324	SS18L2	synovial sarcoma translocation gene on chromosome 18-like 2	protein_coding	3	42623332	42636606
ENSG00000008382	MPND	MPN domain containing	protein_coding	19	4343524	4360083
ENSG00000008394	MGST1	microsomal glutathione S-transferase 1	protein_coding	12	16500076	16762193
ENSG00000008405	CRY1	cryptochrome 1 (photolyase-like)	protein_coding	12	107385142	107487607
ENSG00000008438	PGLYRP1	peptidoglycan recognition protein 1	protein_coding	19	46522411	46526323
ENSG00000008441	NFIX	nuclear factor I/X (CCAAT-binding transcription factor)	protein_coding	19	13106422	13209610
ENSG00000008513	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	protein_coding	8	134467091	134584183
ENSG00000008516	MMP25	matrix metallopeptidase 25	protein_coding	16	3096682	3110727
ENSG00000008517	IL32	interleukin 32	protein_coding	16	3115298	3131908
ENSG00000008710	PKD1	polycystic kidney disease 1 (autosomal dominant)	protein_coding	16	2138717	2185899
ENSG00000008735	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2	protein_coding	22	51039114	51052409
ENSG00000008838	MED24	mediator complex subunit 24	protein_coding	17	38175350	38217468
ENSG00000008853	RHOBTB2	Rho-related BTB domain containing 2	protein_coding	8	22844930	22877645
ENSG00000008869	HEATR5B	HEAT repeat containing 5B	protein_coding	2	37195526	37311485
ENSG00000008952	SEC62	SEC62 homolog (S. cerevisiae)	protein_coding	3	169684523	169716161
ENSG00000008988	RPS20	ribosomal protein S20	protein_coding	8	56979854	56987069
ENSG00000009307	CSDE1	cold shock domain containing E1, RNA-binding	protein_coding	1	115259534	115301297
ENSG00000009335	UBE3C	ubiquitin protein ligase E3C	protein_coding	7	156931607	157062066
ENSG00000009413	REV3L	REV3-like, polymerase (DNA directed), zeta, catalytic subunit	protein_coding	6	111620234	111804432
ENSG00000009709	PAX7	paired box 7	protein_coding	1	18957500	19075360
ENSG00000009724	MASP2	mannan-binding lectin serine peptidase 2	protein_coding	1	11086580	11107290
ENSG00000009765	IYD	iodotyrosine deiodinase	protein_coding	6	150690028	150727105
ENSG00000009780	FAM76A	family with sequence similarity 76, member A	protein_coding	1	28052490	28089633
ENSG00000009790	TRAF3IP3	TRAF3 interacting protein 3	protein_coding	1	209929377	209955660
ENSG00000009830	POMT2	protein-O-mannosyltransferase 2	protein_coding	14	77741299	77787226
ENSG00000009844	VTA1	vesicle (multivesicular body) trafficking 1	protein_coding	6	142468367	142545826
ENSG00000009950	MLXIPL	MLX interacting protein-like	protein_coding	7	73007524	73038873
ENSG00000009954	BAZ1B	bromodomain adjacent to zinc finger domain, 1B	protein_coding	7	72854728	72936608
ENSG00000010017	RANBP9	RAN binding protein 9	protein_coding	6	13621730	13711796
ENSG00000010030	ETV7	ets variant 7	protein_coding	6	36322419	36356164
ENSG00000010072	SPRTN	SprT-like N-terminal domain	protein_coding	1	231473599	231490769
ENSG00000010165	METTL13	methyltransferase like 13	protein_coding	1	171750788	171783163
ENSG00000010219	DYRK4	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4	protein_coding	12	4671370	4723325
ENSG00000010244	ZNF207	zinc finger protein 207	protein_coding	17	30677222	30708905
ENSG00000010256	UQCRC1	ubiquinol-cytochrome c reductase core protein I	protein_coding	3	48636436	48648409
ENSG00000010270	STARD3NL	STARD3 N-terminal like	protein_coding	7	38217824	38270272
ENSG00000010278	CD9	CD9 molecule	protein_coding	12	6308881	6347425
ENSG00000010282	HHATL	hedgehog acyltransferase-like	protein_coding	3	42734569	42744319
ENSG00000010292	NCAPD2	non-SMC condensin I complex, subunit D2	protein_coding	12	6603008	6641121
ENSG00000010295	IFFO1	intermediate filament family orphan 1	protein_coding	12	6647541	6665239
ENSG00000010310	GIPR	gastric inhibitory polypeptide receptor	protein_coding	19	46171502	46186982
ENSG00000010318	PHF7	PHD finger protein 7	protein_coding	3	52444673	52457657
ENSG00000010319	SEMA3G	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G	protein_coding	3	52467069	52479101
ENSG00000010322	NISCH	nischarin	protein_coding	3	52489134	52527087
ENSG00000010327	STAB1	stabilin 1	protein_coding	3	52529354	52558385
ENSG00000010361	FUZ	fuzzy planar cell polarity protein	protein_coding	19	50310370	50320633
ENSG00000010379	SLC6A13	solute carrier family 6 (neurotransmitter transporter), member 13	protein_coding	12	329789	372039
ENSG00000010438	PRSS3	protease, serine, 3	protein_coding	9	33750515	33799230
ENSG00000010539	ZNF200	zinc finger protein 200	protein_coding	16	3272325	3286221
ENSG00000010610	CD4	CD4 molecule	protein_coding	12	6896024	6929974
ENSG00000010626	LRRC23	leucine rich repeat containing 23	protein_coding	12	7013897	7023407
ENSG00000010704	HFE	hemochromatosis	protein_coding	6	26087509	26098571
ENSG00000010803	SCMH1	sex comb on midleg homolog 1 (Drosophila)	protein_coding	1	41492872	41707826
ENSG00000010810	FYN	FYN oncogene related to SRC, FGR, YES	protein_coding	6	111981535	112194655
ENSG00000010818	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	protein_coding	6	143072604	143266338
ENSG00000010932	FMO1	flavin containing monooxygenase 1	protein_coding	1	171217638	171255117
ENSG00000011007	TCEB3	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)	protein_coding	1	24069645	24088549
ENSG00000011009	LYPLA2	lysophospholipase II	protein_coding	1	24117460	24122029
ENSG00000011021	CLCN6	chloride channel, voltage-sensitive 6	protein_coding	1	11867188	11903201
ENSG00000011028	MRC2	mannose receptor, C type 2	protein_coding	17	60704762	60770958
ENSG00000011083	SLC6A7	solute carrier family 6 (neurotransmitter transporter), member 7	protein_coding	5	149569520	149602351
ENSG00000011105	TSPAN9	tetraspanin 9	protein_coding	12	3186521	3395730
ENSG00000011114	BTBD7	BTB (POZ) domain containing 7	protein_coding	14	93703896	93799438
ENSG00000011132	APBA3	amyloid beta (A4) precursor protein-binding, family A, member 3	protein_coding	19	3750878	3761697
ENSG00000011143	MKS1	Meckel syndrome, type 1	protein_coding	17	56282803	56296966
ENSG00000011198	ABHD5	abhydrolase domain containing 5	protein_coding	3	43731605	43775863
ENSG00000011243	AKAP8L	A kinase (PRKA) anchor protein 8-like	protein_coding	19	15490859	15529952
ENSG00000011258	MBTD1	mbt domain containing 1	protein_coding	17	49254786	49337427
ENSG00000011260	UTP18	UTP18 small subunit (SSU) processome component homolog (yeast)	protein_coding	17	49337889	49375297
ENSG00000011275	RNF216	ring finger protein 216	protein_coding	7	5659678	5821370
ENSG00000011295	TTC19	tetratricopeptide repeat domain 19	protein_coding	17	15902694	15948329
ENSG00000011304	PTBP1	polypyrimidine tract binding protein 1	protein_coding	19	797075	812327
ENSG00000011332	DPF1	D4, zinc and double PHD fingers family 1	protein_coding	19	38701646	38720354
ENSG00000011347	SYT7	synaptotagmin VII	protein_coding	11	61282785	61348620
ENSG00000011376	LARS2	leucyl-tRNA synthetase 2, mitochondrial	protein_coding	3	45429998	45590913
ENSG00000011405	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha	protein_coding	11	17099335	17229530
ENSG00000011422	PLAUR	plasminogen activator, urokinase receptor	protein_coding	19	44150247	44174699
ENSG00000011426	ANLN	anillin, actin binding protein	protein_coding	7	36429415	36493400
ENSG00000011451	WIZ	widely interspaced zinc finger motifs	protein_coding	19	15532319	15560762
ENSG00000011454	RABGAP1	RAB GTPase activating protein 1	protein_coding	9	125703112	125867145
ENSG00000011465	DCN	decorin	protein_coding	12	91539025	91576900
ENSG00000011478	QPCTL	glutaminyl-peptide cyclotransferase-like	protein_coding	19	46195741	46207247
ENSG00000011485	PPP5C	protein phosphatase 5, catalytic subunit	protein_coding	19	46850251	46896238
ENSG00000011523	CEP68	centrosomal protein 68kDa	protein_coding	2	65283500	65313988
ENSG00000011566	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3	protein_coding	2	39476407	39664453
ENSG00000011590	ZBTB32	zinc finger and BTB domain containing 32	protein_coding	19	36195429	36207940
ENSG00000011638	TMEM159	transmembrane protein 159	protein_coding	16	21169698	21191937
ENSG00000012048	BRCA1	breast cancer 1, early onset	protein_coding	17	41196312	41277500
ENSG00000012061	ERCC1	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)	protein_coding	19	45910591	45982086
