ENSGID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END	meanPredBeta
ENSG00000004139	SARM1	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:17074]	protein_coding	17	26692138	26728065	0.000455528236499303
ENSG00000004142	POLDIP2	polymerase (DNA-directed), delta interacting protein 2 [Source:HGNC Symbol;Acc:23781]	protein_coding	17	26674036	26684545	0.000749936008484069
ENSG00000004399	PLXND1	plexin D1 [Source:HGNC Symbol;Acc:9107]	protein_coding	3	129274018	129325661	0.00174359589388455
ENSG00000004455	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:362]	protein_coding	1	33473585	33546597	0.00318632334427565
ENSG00000004468	CD38	CD38 molecule [Source:HGNC Symbol;Acc:1667]	protein_coding	4	15779898	15854853	-0.00281634034510011
ENSG00000004478	FKBP4	FK506 binding protein 4, 59kDa [Source:HGNC Symbol;Acc:3720]	protein_coding	12	2904119	2914576	-0.00157682633970548
ENSG00000004487	KDM1A	lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:29079]	protein_coding	1	23345941	23410182	-0.000276621648000759
ENSG00000004534	RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:9903]	protein_coding	3	49977440	50114683	0.00416078822278082
ENSG00000004660	CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1, alpha [Source:HGNC Symbol;Acc:1469]	protein_coding	17	3763609	3796338	0.0017152357459781
ENSG00000004700	RECQL	RecQ protein-like (DNA helicase Q1-like) [Source:HGNC Symbol;Acc:9948]	protein_coding	12	21623903	21654603	-0.00288843553502759
ENSG00000004766	CCDC132	coiled-coil domain containing 132 [Source:HGNC Symbol;Acc:25956]	protein_coding	7	92861653	92988338	-0.000811604756405031
ENSG00000004776	HSPB6	heat shock protein, alpha-crystallin-related, B6 [Source:HGNC Symbol;Acc:26511]	protein_coding	19	36245773	36248980	0.000984218206120727
ENSG00000004777	ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:23085]	protein_coding	19	36265434	36279724	0.00350906937992317
ENSG00000004779	NDUFAB1	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa [Source:HGNC Symbol;Acc:7694]	protein_coding	16	23592323	23607677	0.00363549030833352
ENSG00000004799	PDK4	pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:8812]	protein_coding	7	95212811	95225803	0.00318653623610291
ENSG00000004809	SLC22A16	solute carrier family 22 (organic cation/carnitine transporter), member 16 [Source:HGNC Symbol;Acc:20302]	protein_coding	6	110745890	110797844	-0.00577848964067714
ENSG00000004838	ZMYND10	zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:19412]	protein_coding	3	50378660	50384283	-0.000522983322706785
ENSG00000004846	ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5 [Source:HGNC Symbol;Acc:46]	protein_coding	7	20654830	20816658	0.000152500289857267
ENSG00000004864	SLC25A13	solute carrier family 25 (aspartate/glutamate carrier), member 13 [Source:HGNC Symbol;Acc:10983]	protein_coding	7	95749532	95951459	-0.000282506603704252
ENSG00000004866	ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:11351]	protein_coding	7	116654942	116870157	-0.00120054164423891
ENSG00000004897	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:1728]	protein_coding	17	45195069	45266788	-0.000900754205183219
ENSG00000004939	SLC4A1	solute carrier family 4 (anion exchanger), member 1 (Diego blood group) [Source:HGNC Symbol;Acc:11027]	protein_coding	17	42325753	42345509	-0.000609212088981447
ENSG00000004975	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:3086]	protein_coding	17	7128660	7137864	0.000752985778322997
ENSG00000005001	PRSS22	protease, serine, 22 [Source:HGNC Symbol;Acc:14368]	protein_coding	16	2902728	2908171	0.000658102100918445
ENSG00000005007	UPF1	UPF1 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:9962]	protein_coding	19	18942747	18979045	-0.000438336825471622
ENSG00000005020	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:15687]	protein_coding	7	26706681	27034858	0.00146624854319545
ENSG00000005059	CCDC109B	coiled-coil domain containing 109B [Source:HGNC Symbol;Acc:26076]	protein_coding	4	110481361	110609784	0.00135175871489628
ENSG00000005073	HOXA11	homeobox A11 [Source:HGNC Symbol;Acc:5101]	protein_coding	7	27221129	27224136	-0.00124133979256806
ENSG00000005075	POLR2J	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa [Source:HGNC Symbol;Acc:9197]	protein_coding	7	102113616	102119354	0.00026670348241288
ENSG00000005100	DHX33	DEAH (Asp-Glu-Ala-His) box polypeptide 33 [Source:HGNC Symbol;Acc:16718]	protein_coding	17	5344232	5372380	-0.0018281349982438
ENSG00000005102	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:7013]	protein_coding	17	41717756	41739322	-0.000674221179674447
ENSG00000005108	THSD7A	thrombospondin, type I, domain containing 7A [Source:HGNC Symbol;Acc:22207]	protein_coding	7	11409984	11871824	-0.00315846635478305
ENSG00000005156	LIG3	ligase III, DNA, ATP-dependent [Source:HGNC Symbol;Acc:6600]	protein_coding	17	33307513	33332083	-0.0117994142259692
ENSG00000005175	RPAP3	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:26151]	protein_coding	12	48057070	48099844	-0.000630895100055805
ENSG00000005187	ACSM3	acyl-CoA synthetase medium-chain family member 3 [Source:HGNC Symbol;Acc:10522]	protein_coding	16	20621565	20807446	-0.00213844063221158
ENSG00000005189	AC004381.6	Putative RNA exonuclease NEF-sp  [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2]	protein_coding	16	20817999	20860987	-0.000427995117810916
ENSG00000005194	CIAPIN1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:28050]	protein_coding	16	57462081	57481348	0.000827012819863753
ENSG00000005206	SPPL2B	signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:30627]	processed_transcript	19	2328620	2355099	0.00129874626102203
ENSG00000005238	FAM214B	family with sequence similarity 214, member B [Source:HGNC Symbol;Acc:25666]	protein_coding	9	35104109	35116338	0.00125847922187491
ENSG00000005243	COPZ2	coatomer protein complex, subunit zeta 2 [Source:HGNC Symbol;Acc:19356]	protein_coding	17	46103533	46115392	0.000346656319638199
ENSG00000005249	PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:9392]	protein_coding	7	106685094	106802256	0.000421994396192279
ENSG00000005339	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:2348]	protein_coding	16	3775055	3930727	0.000316583436048981
ENSG00000005379	BZRAP1	benzodiazepine receptor (peripheral) associated protein 1 [Source:HGNC Symbol;Acc:16831]	protein_coding	17	56378592	56406152	-0.00224747881232765
ENSG00000005381	MPO	myeloperoxidase [Source:HGNC Symbol;Acc:7218]	protein_coding	17	56347217	56358296	-0.00182659173045855
ENSG00000005421	PON1	paraoxonase 1 [Source:HGNC Symbol;Acc:9204]	protein_coding	7	94926988	94954019	0.00110010953497161
ENSG00000005436	GCFC2	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:1317]	protein_coding	2	75879126	75938115	0.00293016147079319
ENSG00000005448	WDR54	WD repeat domain 54 [Source:HGNC Symbol;Acc:25770]	protein_coding	2	74648805	74652882	0.000863553682028422
ENSG00000005469	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:2366]	protein_coding	7	86974997	87029111	-0.00541035181200842
ENSG00000005471	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4 [Source:HGNC Symbol;Acc:45]	protein_coding	7	87031013	87109751	-0.00339744791512834
ENSG00000005483	KMT2E	lysine (K)-specific methyltransferase 2E [Source:HGNC Symbol;Acc:18541]	protein_coding	7	104654769	104754808	-0.00143136539409886
ENSG00000005486	RHBDD2	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:23082]	protein_coding	7	75471920	75518244	0.00508576822008015
ENSG00000005513	SOX8	SRY (sex determining region Y)-box 8 [Source:HGNC Symbol;Acc:11203]	protein_coding	16	1031808	1036979	-0.00139932100532629
ENSG00000005700	IBTK	inhibitor of Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:17853]	protein_coding	6	82879700	82957471	0.00112965624630767
ENSG00000005801	ZNF195	zinc finger protein 195 [Source:HGNC Symbol;Acc:12986]	protein_coding	11	3360491	3400448	0.00411723916786786
ENSG00000005810	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:23386]	protein_coding	13	77618792	77901185	-0.00125397129585224
ENSG00000005812	FBXL3	F-box and leucine-rich repeat protein 3 [Source:HGNC Symbol;Acc:13599]	protein_coding	13	77566740	77601330	-0.00277418255061148
ENSG00000005844	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) [Source:HGNC Symbol;Acc:6148]	protein_coding	16	30483979	30534506	0.000754357259965948
ENSG00000005882	PDK2	pyruvate dehydrogenase kinase, isozyme 2 [Source:HGNC Symbol;Acc:8810]	protein_coding	17	48172101	48187403	0.00190291736913324
ENSG00000005884	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]	protein_coding	17	48133332	48167845	0.000419860688269255
ENSG00000005955	GGNBP2	gametogenetin binding protein 2 [Source:HGNC Symbol;Acc:19357]	protein_coding	17	34900737	34946278	0.00899808341635541
ENSG00000005961	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]	protein_coding	17	42449548	42466873	0.00105131891969349
ENSG00000005981	ASB4	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:16009]	protein_coding	7	95107756	95169544	0.000966119049711778
ENSG00000006007	GDE1	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:29644]	protein_coding	16	19513212	19533467	0.000672248690243418
ENSG00000006015	C19orf60	chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:26098]	protein_coding	19	18699535	18703146	-0.000542129803104192
ENSG00000006016	CRLF1	cytokine receptor-like factor 1 [Source:HGNC Symbol;Acc:2364]	protein_coding	19	18683418	18718551	0.000105625417161013
ENSG00000006025	OSBPL7	oxysterol binding protein-like 7 [Source:HGNC Symbol;Acc:16387]	protein_coding	17	45884738	45899200	0.00145143865111691
ENSG00000006042	TMEM98	transmembrane protein 98 [Source:HGNC Symbol;Acc:24529]	protein_coding	17	31254928	31272124	-0.00494456342272771
ENSG00000006047	YBX2	Y box binding protein 2 [Source:HGNC Symbol;Acc:17948]	protein_coding	17	7191577	7197934	0.0021171627835491
ENSG00000006071	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]	protein_coding	11	17414432	17498449	0.00456825214143714
ENSG00000006074	CCL18	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated) [Source:HGNC Symbol;Acc:10616]	protein_coding	17	34391640	34399392	-0.00197051956282449
ENSG00000006075	CCL3	chemokine (C-C motif) ligand 3 [Source:HGNC Symbol;Acc:10627]	protein_coding	17	34415602	34417487	-0.00101539884598068
ENSG00000006114	SYNRG	synergin, gamma [Source:HGNC Symbol;Acc:557]	protein_coding	17	35874900	35969544	-0.00461151455492592
ENSG00000006116	CACNG3	calcium channel, voltage-dependent, gamma subunit 3 [Source:HGNC Symbol;Acc:1407]	protein_coding	16	24266874	24374122	0.00207883622264088
ENSG00000006118	TMEM132A	transmembrane protein 132A [Source:HGNC Symbol;Acc:31092]	protein_coding	11	60691935	60704555	-0.0021521753199396
ENSG00000006125	AP2B1	adaptor-related protein complex 2, beta 1 subunit [Source:HGNC Symbol;Acc:563]	protein_coding	17	33913918	34053436	-0.00169694288365697
ENSG00000006128	TAC1	tachykinin, precursor 1 [Source:HGNC Symbol;Acc:11517]	protein_coding	7	97361220	97369784	-0.0028813448956799
ENSG00000006194	ZNF263	zinc finger protein 263 [Source:HGNC Symbol;Acc:13056]	protein_coding	16	3313743	3341460	-0.00480033628640342
ENSG00000006210	CX3CL1	chemokine (C-X3-C motif) ligand 1 [Source:HGNC Symbol;Acc:10647]	protein_coding	16	57406370	57418960	0.000564190488120812
ENSG00000006282	SPATA20	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]	protein_coding	17	48623667	48633213	0.00215320400203646
ENSG00000006283	CACNA1G	calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:HGNC Symbol;Acc:1394]	protein_coding	17	48638429	48704835	0.000182442727163148
ENSG00000006327	TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A [Source:HGNC Symbol;Acc:18152]	protein_coding	16	3068486	3072384	-0.000451166108249064
ENSG00000006377	DLX6	distal-less homeobox 6 [Source:HGNC Symbol;Acc:2919]	protein_coding	7	96634860	96640351	-0.00117122895289518
ENSG00000006432	MAP3K9	mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:6861]	protein_coding	14	71189243	71276251	0.00220892211523179
ENSG00000006451	RALA	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:9839]	protein_coding	7	39663082	39747723	0.000809608137921973
ENSG00000006453	BAIAP2L1	BAI1-associated protein 2-like 1 [Source:HGNC Symbol;Acc:21649]	protein_coding	7	97920963	98030380	0.00143213034580979
ENSG00000006459	JHDM1D	lysine (K)-specific demethylase 7A [Source:HGNC Symbol;Acc:22224]	protein_coding	7	139784546	139876835	-0.00251553418061278
ENSG00000006468	ETV1	ets variant 1 [Source:HGNC Symbol;Acc:3490]	protein_coding	7	13930853	14031050	6.69938493438525e-05
ENSG00000006530	AGK	acylglycerol kinase [Source:HGNC Symbol;Acc:21869]	protein_coding	7	141251105	141355044	-0.000512097430567428
ENSG00000006534	ALDH3B1	aldehyde dehydrogenase 3 family, member B1 [Source:HGNC Symbol;Acc:410]	protein_coding	11	67776048	67796743	0.000952938279578118
ENSG00000006555	TTC22	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:26067]	protein_coding	1	55245385	55266940	-0.00292407856769135
ENSG00000006576	PHTF2	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:13411]	protein_coding	7	77428122	77586818	-0.000146996413208958
ENSG00000006606	CCL26	chemokine (C-C motif) ligand 26 [Source:HGNC Symbol;Acc:10625]	protein_coding	7	75398851	75419214	-0.00092815306929417
ENSG00000006607	FARP2	FERM, RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:16460]	protein_coding	2	242295658	242431094	0.000208159947278372
ENSG00000006611	USH1C	Usher syndrome 1C (autosomal recessive, severe) [Source:HGNC Symbol;Acc:12597]	protein_coding	11	17515442	17565963	0.00105044816434459
ENSG00000006625	GGCT	gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:21705]	protein_coding	7	30536237	30544460	-0.00327035539978845
ENSG00000006634	DBF4	DBF4 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:17364]	protein_coding	7	87505673	87538856	0.00230051472314036
ENSG00000006638	TBXA2R	thromboxane A2 receptor [Source:HGNC Symbol;Acc:11608]	protein_coding	19	3594504	3606838	8.0045069635053e-05
ENSG00000006652	IFRD1	interferon-related developmental regulator 1 [Source:HGNC Symbol;Acc:5456]	protein_coding	7	112063023	112121045	-0.00179983005609116
ENSG00000006695	COX10	cytochrome c oxidase assembly homolog 10 (yeast) [Source:HGNC Symbol;Acc:2260]	protein_coding	17	13972813	14111994	0.00188441210947085
ENSG00000006704	GTF2IRD1	GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:4661]	protein_coding	7	73868120	74016931	-0.00229675900165204
ENSG00000006712	PAF1	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25459]	protein_coding	19	39876492	39881835	0.00178456934883552
ENSG00000006715	VPS41	vacuolar protein sorting 41 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:12713]	protein_coding	7	38762563	38971994	-0.000338645808965452
ENSG00000006740	ARHGAP44	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:29096]	protein_coding	17	12692856	12894960	0.00145476997387996
ENSG00000006744	ELAC2	elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:14198]	protein_coding	17	12895708	12921504	-0.0144501486485329
ENSG00000006747	SCIN	scinderin [Source:HGNC Symbol;Acc:21695]	protein_coding	7	12610475	12693228	-0.000726227239757228
ENSG00000006788	MYH13	myosin, heavy chain 13, skeletal muscle [Source:HGNC Symbol;Acc:7571]	protein_coding	17	10201401	10276447	-0.00445068816999096
ENSG00000006831	ADIPOR2	adiponectin receptor 2 [Source:HGNC Symbol;Acc:24041]	protein_coding	12	1797740	1897844	0.00132129785997528
ENSG00000006837	CDKL3	cyclin-dependent kinase-like 3 [Source:HGNC Symbol;Acc:15483]	protein_coding	5	133621932	133706738	-0.00283052060638454
ENSG00000007001	UPP2	uridine phosphorylase 2 [Source:HGNC Symbol;Acc:23061]	protein_coding	2	158733214	158992666	0.000860042601361392
ENSG00000007038	PRSS21	protease, serine, 21 (testisin) [Source:HGNC Symbol;Acc:9485]	protein_coding	16	2867164	2876305	1.36631817194324e-05
ENSG00000007047	MARK4	MAP/microtubule affinity-regulating kinase 4 [Source:HGNC Symbol;Acc:13538]	protein_coding	19	45754516	45808541	0.00906622637563535
ENSG00000007062	PROM1	prominin 1 [Source:HGNC Symbol;Acc:9454]	protein_coding	4	15965871	16086001	0.00197740848438572
ENSG00000007080	CCDC124	coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:25171]	protein_coding	19	18043825	18054800	-0.00105932621913538
ENSG00000007129	CEACAM21	carcinoembryonic antigen-related cell adhesion molecule 21 [Source:HGNC Symbol;Acc:28834]	protein_coding	19	42055886	42093197	-0.00549658209101095
ENSG00000007168	PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa) [Source:HGNC Symbol;Acc:8574]	protein_coding	17	2496504	2588909	0.00217013490704257
ENSG00000007171	NOS2	nitric oxide synthase 2, inducible [Source:HGNC Symbol;Acc:7873]	protein_coding	17	26083792	26127525	-0.0154082459610702
ENSG00000007174	DNAH9	dynein, axonemal, heavy chain 9 [Source:HGNC Symbol;Acc:2953]	protein_coding	17	11501748	11873065	0.000628302881716449
ENSG00000007202	KIAA0100	KIAA0100 [Source:HGNC Symbol;Acc:28960]	protein_coding	17	26941458	26972472	-0.000574982154927848
ENSG00000007216	SLC13A2	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:HGNC Symbol;Acc:10917]	protein_coding	17	26800311	26824799	0.00111344496858694
ENSG00000007237	GAS7	growth arrest-specific 7 [Source:HGNC Symbol;Acc:4169]	protein_coding	17	9813926	10101868	-9.37050230942678e-05
ENSG00000007255	TRAPPC6A	trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:23069]	protein_coding	19	45666186	45681495	-0.000357886694137714
ENSG00000007264	MATK	megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:6906]	protein_coding	19	3777971	3802127	0.000328998679975708
ENSG00000007306	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7 [Source:HGNC Symbol;Acc:1819]	protein_coding	19	42177235	42210895	0.00250304356165769
ENSG00000007312	CD79B	CD79b molecule, immunoglobulin-associated beta [Source:HGNC Symbol;Acc:1699]	protein_coding	17	62006100	62009714	-0.00349724944006247
ENSG00000007314	SCN4A	sodium channel, voltage-gated, type IV, alpha subunit [Source:HGNC Symbol;Acc:10591]	protein_coding	17	62015914	62050278	0.000620512290626706
ENSG00000007341	ST7L	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:18441]	protein_coding	1	113081781	113163447	0.0121161074713943
ENSG00000007372	PAX6	paired box 6 [Source:HGNC Symbol;Acc:8620]	protein_coding	11	31806340	31839509	0.000980829934745794
ENSG00000007376	RPUSD1	RNA pseudouridylate synthase domain containing 1 [Source:HGNC Symbol;Acc:14173]	protein_coding	16	834974	837981	-0.00168312112151296
ENSG00000007384	RHBDF1	rhomboid 5 homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:20561]	protein_coding	16	108058	126354	-0.00107271350252801
ENSG00000007392	LUC7L	LUC7-like (S. cerevisiae) [Source:HGNC Symbol;Acc:6723]	protein_coding	16	238968	279462	-7.71046507221e-05
ENSG00000007402	CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2 [Source:HGNC Symbol;Acc:1400]	protein_coding	3	50400233	50541675	0.00103219798079787
ENSG00000007516	BAIAP3	BAI1-associated protein 3 [Source:HGNC Symbol;Acc:948]	protein_coding	16	1383602	1399240	0.00444099079566521
ENSG00000007520	TSR3	TSR3, 20S rRNA accumulation, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:14175]	protein_coding	16	1399440	1401912	0.00214311789175596
