ENSGID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END	nPredEBM	pPredEBM	nPredHMP	pPredHMP	nTWAShmp	pTWAShmp	nTWASomni	pTWASomni	minP	maxPpred	maxPtwas	Near_GWAS	meanPredBeta	meanTwasZscore
ENSG00000204314	PRRT1	proline-rich transmembrane protein 1 [Source:HGNC Symbol;Acc:13943]	protein_coding	6	32116136	32121621	14	0.000757479010281193	14	1.84599925787599e-07	11	0.000531361321217722	11	4.17e-05	1.84599925787599e-07	0.000757479010281193	0.000531361321217722	yes	-0.00973623871254422	-2.38799709090909
ENSG00000204305	AGER	advanced glycosylation end product-specific receptor [Source:HGNC Symbol;Acc:320]	protein_coding	6	32148745	32152101	23	0.000897598384426187	23	0.000743850786926009	17	0.000317480033270959	17	0.0065	0.000317480033270959	0.000897598384426187	0.0065	yes	-0.00660508883150932	-2.38580476470588
ENSG00000196301	HLA-DRB9	major histocompatibility complex, class II, DR beta 9 (pseudogene) [Source:HGNC Symbol;Acc:4957]	pseudogene	6	32427598	32441277	28	0.00048690287574977	28	0.000249370390193748	14	0.00128565180064638	11	0.00183	0.000249370390193748	0.00048690287574977	0.00183	yes	-0.016594220316849	-2.76894085714286
ENSG00000229391	HLA-DRB6	major histocompatibility complex, class II, DR beta 6 (pseudogene) [Source:HGNC Symbol;Acc:4954]	pseudogene	6	32520490	32527799	49	1.93562386700113e-08	49	2.02656689552475e-08	47	1.14395459244228e-06	8	1.06e-05	1.93562386700113e-08	2.02656689552475e-08	1.06e-05	yes	-0.0523622254682615	-4.66550814893617
ENSG00000196126	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:4948]	protein_coding	6	32546546	32557625	46	6.55251814664875e-07	46	3.44155930527576e-07	35	3.09847362832217e-06	21	5.06e-05	3.44155930527576e-07	6.55251814664875e-07	5.06e-05	yes	0.0240499736452661	3.61413405714286
ENSG00000196735	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:4942]	protein_coding	6	32595956	32611429	40	7.26648841151062e-07	40	9.9321922780453e-07	31	2.03988800004591e-06	10	1e-04	7.26648841151062e-07	9.9321922780453e-07	1e-04	yes	0.0258284839539981	3.8438615483871
ENSG00000179344	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:4944]	protein_coding	6	32627244	32636160	50	1.32157793673705e-05	50	3.63841711901297e-05	47	0.000387243472896722	8	0.000295	1.32157793673705e-05	3.63841711901297e-05	0.000387243472896722	yes	0.0403410584294406	3.47851487234043
ENSG00000237541	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:4943]	protein_coding	6	32709119	32714992	50	3.91870363641391e-08	50	5.64710652740972e-07	46	1.49628536429799e-06	6	0.000254	3.91870363641391e-08	5.64710652740972e-07	0.000254	yes	-0.0493929682239282	-4.75717793478261
ENSG00000111817	DSE	dermatan sulfate epimerase [Source:HGNC Symbol;Acc:21144]	protein_coding	6	116575336	116762424	11	0.000919596977133904	11	0.000226716686649419	11	9.71997192907174e-05	11	0.000255	9.71997192907174e-05	0.000919596977133904	0.000255	no	-0.00586259459962238	-1.51093281818182
ENSG00000164818	HEATR2	HEAT repeat containing 2 [Source:HGNC Symbol;Acc:26013]	protein_coding	7	766615	829190	36	0.00448047732232304	36	0.00119971217400462	33	0.00367322906000764	22	0.00576	0.00119971217400462	0.00448047732232304	0.00576	no	0.0109487662456196	2.21437712121212
ENSG00000105976	MET	met proto-oncogene [Source:HGNC Symbol;Acc:7029]	protein_coding	7	116312444	116438440	21	6.97825114895583e-09	21	0.00657809228762334	20	5.45555973863964e-06	16	3.18e-07	6.97825114895583e-09	0.00657809228762334	5.45555973863964e-06	no	-0.00587769813709839	-0.9182953
ENSG00000254608	RP11-56A10.1		pseudogene	8	55561553	55782463	5	0.00114872717270802	5	0.00975586967868117	2	0.000842369046519718	2	0.000667	0.000667	0.00975586967868117	0.000842369046519718	no	-0.00707257341190902	-3.157315
ENSG00000171159	C9orf16	chromosome 9 open reading frame 16 [Source:HGNC Symbol;Acc:17823]	protein_coding	9	130922539	130926207	8	0.00162577513098324	8	0.00889122979930661	6	0.00405311603695507	6	0.00957	0.00162577513098324	0.00889122979930661	0.00957	no	-0.000106718153160369	0.336090333333333
ENSG00000110435	PDHX	pyruvate dehydrogenase complex, component X [Source:HGNC Symbol;Acc:21350]	protein_coding	11	34937376	35042138	27	0.00325455122188601	27	0.00111428483110534	30	0.000510903734405194	25	2.8e-07	2.8e-07	0.00325455122188601	0.000510903734405194	yes	-0.0108757195504549	-2.00831193333333
ENSG00000214872	SMTNL1	smoothelin-like 1 [Source:HGNC Symbol;Acc:32394]	protein_coding	11	57308979	57318108	48	9.87022526615585e-05	48	0.000367698996167026	45	0.000893569316561548	7	0.00823	9.87022526615585e-05	0.000367698996167026	0.00823	no	0.0217099245195089	3.08361988888889
ENSG00000135457	TFCP2	transcription factor CP2 [Source:HGNC Symbol;Acc:11748]	protein_coding	12	51487446	51566926	6	0.0021465985221771	6	0.00314685141478556	3	0.00267269074293168	3	0.000581	0.000581	0.00314685141478556	0.00267269074293168	no	-0.00268387443968581	-2.55734666666667
ENSG00000135114	OASL	2'-5'-oligoadenylate synthetase-like [Source:HGNC Symbol;Acc:8090]	protein_coding	12	121458095	121477045	5	0.00132137000843488	5	0.00582707471685552	4	0.00112607438113545	4	0.000243	0.000243	0.00582707471685552	0.00112607438113545	no	-0.00384445146363002	-1.80168925
ENSG00000182107	TMEM30B	transmembrane protein 30B [Source:HGNC Symbol;Acc:27254]	protein_coding	14	61744088	61748558	6	0.00107904398104593	6	3.94746630305436e-05	5	0.00222844162937974	5	0.00992	3.94746630305436e-05	0.00107904398104593	0.00992	no	-0.00165304217538912	-0.614224
ENSG00000103707	MTFMT	mitochondrial methionyl-tRNA formyltransferase [Source:HGNC Symbol;Acc:29666]	protein_coding	15	65294845	65321977	6	0.000414832214486901	6	0.00588862761971433	2	0.00094623860775079	2	0.00216	0.000414832214486901	0.00588862761971433	0.00216	no	-0.00307392110110471	-1.610075
ENSG00000166869	CHP2	calcineurin-like EF-hand protein 2 [Source:HGNC Symbol;Acc:24927]	protein_coding	16	23765948	23770272	4	0.0030559589223063	4	0.00368159614897027	3	8.06891847787373e-06	3	5.87e-05	8.06891847787373e-06	0.00368159614897027	5.87e-05	yes	-0.00240207244333594	0.739907666666667
ENSG00000166501	PRKCB	protein kinase C, beta [Source:HGNC Symbol;Acc:9395]	protein_coding	16	23847322	24231932	19	3.05123867524268e-06	19	0.000101115283366769	16	0.00961960319192706	13	0.00605	3.05123867524268e-06	0.000101115283366769	0.00961960319192706	yes	-0.00197627963782715	-0.09918375
ENSG00000259957	RP11-491F9.8		lincRNA	16	49328797	49330647	2	0.00330342924109798	2	0.0049641136232677	2	0.00114546814707832	2	0.00294	0.00114546814707832	0.0049641136232677	0.00294	no	-0.015154952404102	-3.2501185
ENSG00000198336	MYL4	myosin, light chain 4, alkali; atrial, embryonic [Source:HGNC Symbol;Acc:7585]	protein_coding	17	45277812	45301045	14	6.26013900102634e-05	14	0.00274130709847335	10	0.00561830240047549	6	0.00871	6.26013900102634e-05	0.00274130709847335	0.00871	no	-0.00479422057243763	-2.6910941
ENSG00000167220	HDHD2	haloacid dehalogenase-like hydrolase domain containing 2 [Source:HGNC Symbol;Acc:25364]	protein_coding	18	44634434	44676891	22	0.000374940540309857	22	0.000246505217574784	16	0.00019233190463454	11	0.00387	0.00019233190463454	0.000374940540309857	0.00387	no	0.00310428913531168	1.5065613125
ENSG00000187045	TMPRSS6	transmembrane protease, serine 6 [Source:HGNC Symbol;Acc:16517]	protein_coding	22	37461476	37505603	7	0.00245131025118124	7	0.00122595153008454	2	0.00362852000521984	2	0.000977	0.000977	0.00245131025118124	0.00362852000521984	no	-0.000434880476386451	-0.3625895
ENSG00000100418	DESI1	desumoylating isopeptidase 1 [Source:HGNC Symbol;Acc:24577]	protein_coding	22	41994032	42017100	19	0.00237876086452003	19	0.00381426477002565	17	0.000399244146411768	17	0.00258	0.000399244146411768	0.00381426477002565	0.00258	no	-0.0086383132048971	-2.84181211764706
