ENSGID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END	n	p.HMP	p.EBM	P	log10maxP
ENSG00000004799	PDK4	pyruvate dehydrogenase kinase, isozyme 4	protein_coding	7	95212811	95225803	12	0.1508512173064	0.112108810757581	0.1508512173064	0.821451180899538
ENSG00000004809	SLC22A16	solute carrier family 22 (organic cation/carnitine transporter), member 16	protein_coding	6	110745890	110797844	14	0.183264648005639	0.171030300899387	0.183264648005639	0.736921302941788
ENSG00000004838	ZMYND10	zinc finger, MYND-type containing 10	protein_coding	3	50378660	50384283	4	0.772138879318934	0.936099863567498	0.936099863567498	0.0286778180537228
ENSG00000004864	SLC25A13	solute carrier family 25 (aspartate/glutamate carrier), member 13	protein_coding	7	95749532	95951459	7	0.462760044717289	0.334854000764202	0.462760044717289	0.334644145631902
ENSG00000004866	ST7	suppression of tumorigenicity 7	protein_coding	7	116654942	116870157	5	0.398927144433306	0.344342291793719	0.398927144433306	0.399106411730977
ENSG00000004897	CDC27	cell division cycle 27	protein_coding	17	45195069	45266788	12	0.148106361366499	0.120910570212321	0.148106361366499	0.829426287548771
ENSG00000004939	SLC4A1	solute carrier family 4 (anion exchanger), member 1 (Diego blood group)	protein_coding	17	42325753	42345509	2	0.519255471890295	0.55759376823506	0.55759376823506	0.253682088633594
ENSG00000004975	DVL2	dishevelled segment polarity protein 2	protein_coding	17	7128660	7137864	5	0.573076622857633	0.42658349090367	0.573076622857633	0.241787307073577
ENSG00000005001	PRSS22	protease, serine, 22	protein_coding	16	2902728	2908171	8	0.839902382344616	0.712380419623931	0.839902382344616	0.0757711868817404
ENSG00000005007	UPF1	UPF1 regulator of nonsense transcripts homolog (yeast)	protein_coding	19	18942747	18979045	4	0.244845417166763	0.387254563186985	0.387254563186985	0.412003456060037
ENSG00000005020	SKAP2	src kinase associated phosphoprotein 2	protein_coding	7	26706681	27034858	12	0.912346887537801	0.979573478666675	0.979573478666675	0.00896298163698926
ENSG00000005059	CCDC109B	coiled-coil domain containing 109B	protein_coding	4	110481361	110609784	6	0.663905324449166	0.565372608006508	0.663905324449166	0.177893848344163
ENSG00000005075	POLR2J	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa	protein_coding	7	102113616	102119354	14	0.88920694365029	0.816257201413152	0.88920694365029	0.0509971546356301
ENSG00000005100	DHX33	DEAH (Asp-Glu-Ala-His) box polypeptide 33	protein_coding	17	5344232	5372380	3	0.309481169848792	0.264181508135576	0.309481169848792	0.509365770164202
ENSG00000005102	MEOX1	mesenchyme homeobox 1	protein_coding	17	41717756	41739322	14	0.612592382595889	0.669461816768951	0.669461816768951	0.174274188240384
ENSG00000005108	THSD7A	thrombospondin, type I, domain containing 7A	protein_coding	7	11409984	11871824	8	0.59728813595355	0.524648285410451	0.59728813595355	0.223816111640134
ENSG00000005156	LIG3	ligase III, DNA, ATP-dependent	protein_coding	17	33307513	33332083	43	0.00731677349265332	0.0142447363534632	0.0142447363534632	1.8463455844235
ENSG00000005175	RPAP3	RNA polymerase II associated protein 3	protein_coding	12	48057070	48099844	5	0.68535211522932	0.695782196987464	0.695782196987464	0.157526687760061
ENSG00000005187	ACSM3	acyl-CoA synthetase medium-chain family member 3	protein_coding	16	20621565	20807446	18	0.843275264490085	0.588683701486975	0.843275264490085	0.0740306385001405
ENSG00000005189	AC004381.6	Putative RNA exonuclease NEF-sp 	protein_coding	16	20817999	20860987	18	0.610517487696495	0.379914616567781	0.610517487696495	0.214301891585905
ENSG00000005194	CIAPIN1	cytokine induced apoptosis inhibitor 1	protein_coding	16	57462081	57481348	12	0.891055732265283	0.74473478456886	0.891055732265283	0.0500951315879084
ENSG00000005238	FAM214B	family with sequence similarity 214, member B	protein_coding	9	35104109	35116338	11	0.687046349160596	0.632963951904375	0.687046349160596	0.163013963805515
ENSG00000005243	COPZ2	coatomer protein complex, subunit zeta 2	protein_coding	17	46103533	46115392	14	0.935155869788454	0.868489641106626	0.935155869788454	0.0291159958149554
ENSG00000005249	PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta	protein_coding	7	106685094	106802256	5	0.714207738285277	0.748472625823067	0.748472625823067	0.125824078649435
ENSG00000005379	BZRAP1	benzodiazepine receptor (peripheral) associated protein 1	protein_coding	17	56378592	56406152	22	0.880929366754209	0.610995759057636	0.880929366754209	0.0550589120858463
ENSG00000005381	MPO	myeloperoxidase	protein_coding	17	56347217	56358296	6	0.545970042598514	0.490695923409133	0.545970042598514	0.262831186399823
ENSG00000005421	PON1	paraoxonase 1	protein_coding	7	94926988	94954019	16	0.0410428761813285	0.36717727499693	0.36717727499693	0.435124205599446
ENSG00000005436	GCFC2	GC-rich sequence DNA-binding factor 2	protein_coding	2	75879126	75938115	19	0.766992009733455	0.464543028404538	0.766992009733455	0.11520916036229
ENSG00000005448	WDR54	WD repeat domain 54	protein_coding	2	74648805	74652882	6	0.627146515539843	0.477488491693056	0.627146515539843	0.202630986350968
ENSG00000005469	CROT	carnitine O-octanoyltransferase	protein_coding	7	86974997	87029111	7	0.265995309408551	0.17399275415303	0.265995309408551	0.575126021699551
ENSG00000005471	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	protein_coding	7	87031013	87109751	23	0.699052557879511	0.361456426179404	0.699052557879511	0.155490170836628
ENSG00000005483	KMT2E	lysine (K)-specific methyltransferase 2E	protein_coding	7	104654769	104754808	3	0.602765847682608	0.726947180097839	0.726947180097839	0.138497143783892
ENSG00000005486	RHBDD2	rhomboid domain containing 2	protein_coding	7	75471920	75518244	19	0.00420644897889641	0.00525411128699862	0.00525411128699862	2.27950073268859
ENSG00000005513	SOX8	SRY (sex determining region Y)-box 8	protein_coding	16	1031808	1036979	10	0.524578778222484	0.45288067853382	0.524578778222484	0.280189282726403
ENSG00000005700	IBTK	inhibitor of Bruton agammaglobulinemia tyrosine kinase	protein_coding	6	82879700	82957471	13	0.00378219291092247	0.254503794878138	0.254503794878138	0.594305737561613
ENSG00000005801	ZNF195	zinc finger protein 195	protein_coding	11	3360491	3400448	41	0.810563787896702	0.370746261275374	0.810563787896702	0.0912128023559003
ENSG00000005810	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase	protein_coding	13	77618792	77901185	4	0.319395674238235	0.218258167656688	0.319395674238235	0.495670970060987
ENSG00000005812	FBXL3	F-box and leucine-rich repeat protein 3	protein_coding	13	77566740	77601330	6	0.203512130722266	0.146185486575988	0.203512130722266	0.691409698730039
ENSG00000005844	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	protein_coding	16	30483979	30534506	2	0.523635187742656	0.55572037593042	0.55572037593042	0.25514367916943
ENSG00000005882	PDK2	pyruvate dehydrogenase kinase, isozyme 2	protein_coding	17	48172101	48187403	28	0.98499618899082	0.795480534752945	0.98499618899082	0.00656544981046868
ENSG00000005884	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	protein_coding	17	48133332	48167845	8	0.429470209932003	0.393630490304269	0.429470209932003	0.367066955490119
ENSG00000005955	GGNBP2	gametogenetin binding protein 2	protein_coding	17	34900737	34946278	30	0.0173891182302706	0.0133003740851361	0.0173891182302706	1.75972243970154
ENSG00000005961	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	protein_coding	17	42449548	42466873	6	0.181705860503308	0.232242247016067	0.232242247016067	0.634058775221691
ENSG00000005981	ASB4	ankyrin repeat and SOCS box containing 4	protein_coding	7	95107756	95169544	19	0.937482909213351	0.828755509379871	0.937482909213351	0.0280366409356995
ENSG00000006007	GDE1	glycerophosphodiester phosphodiesterase 1	protein_coding	16	19513212	19533467	12	0.728569026300713	0.602762068154602	0.728569026300713	0.13752929588935
ENSG00000006015	C19orf60	chromosome 19 open reading frame 60	protein_coding	19	18699535	18703146	7	0.789812819103207	0.94377449389783	0.94377449389783	0.0251317639173221
ENSG00000006016	CRLF1	cytokine receptor-like factor 1	protein_coding	19	18683418	18718551	12	0.620047424776628	0.586426675491113	0.620047424776628	0.207575091903177
ENSG00000006025	OSBPL7	oxysterol binding protein-like 7	protein_coding	17	45884738	45899200	9	0.269446083504387	0.510146463151966	0.510146463151966	0.29230511996702
ENSG00000006042	TMEM98	transmembrane protein 98	protein_coding	17	31254928	31272124	37	0.0598518027049528	0.262325822936336	0.262325822936336	0.581158956048008
ENSG00000006047	YBX2	Y box binding protein 2	protein_coding	17	7191577	7197934	10	0.875184306533731	0.81204511352985	0.875184306533731	0.057900478541391
ENSG00000006071	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	protein_coding	11	17414432	17498449	29	0.178378368009046	0.221351257663546	0.221351257663546	0.654918006123415
ENSG00000006074	CCL18	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	protein_coding	17	34391640	34399392	3	0.0871733289519163	0.139371264627453	0.139371264627453	0.855826759237714
ENSG00000006075	CCL3	chemokine (C-C motif) ligand 3	protein_coding	17	34415602	34417487	4	0.647031244415638	0.769016933389865	0.769016933389865	0.114064097133795
ENSG00000006114	SYNRG	synergin, gamma	protein_coding	17	35874900	35969544	34	0.939445765179038	0.459454546979092	0.939445765179038	0.0271282869454123
ENSG00000006116	CACNG3	calcium channel, voltage-dependent, gamma subunit 3	protein_coding	16	24266874	24374122	2	0.653534260564146	0.826356637444993	0.826356637444993	0.0828324802256745
ENSG00000006118	TMEM132A	transmembrane protein 132A	protein_coding	11	60691935	60704555	10	0.752794778568442	0.540120264183853	0.752794778568442	0.123323401863979
ENSG00000006125	AP2B1	adaptor-related protein complex 2, beta 1 subunit	protein_coding	17	33913918	34053436	13	0.822656820241848	0.657953736308833	0.822656820241848	0.0847812974219386
ENSG00000006128	TAC1	tachykinin, precursor 1	protein_coding	7	97361220	97369784	11	0.0752847437195112	0.00604481860029845	0.0752847437195112	1.12329302366289
ENSG00000006194	ZNF263	zinc finger protein 263	protein_coding	16	3313743	3341460	15	0.0712514366184573	0.0274305703583741	0.0712514366184573	1.1472063746994
ENSG00000006210	CX3CL1	chemokine (C-X3-C motif) ligand 1	protein_coding	16	57406370	57418960	4	0.784283614658945	0.925865616634902	0.925865616634902	0.0334520437599075
ENSG00000006282	SPATA20	spermatogenesis associated 20	protein_coding	17	48623667	48633213	51	0.999904601869049	0.809180576003502	0.999904601869049	4.14328581959659e-05
ENSG00000006283	CACNA1G	calcium channel, voltage-dependent, T type, alpha 1G subunit	protein_coding	17	48638429	48704835	10	0.783013843147767	0.763103310556839	0.783013843147767	0.106230559845578
ENSG00000006327	TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A	protein_coding	16	3068486	3072384	3	0.57152199002712	0.612885043047828	0.612885043047828	0.212620977115919
ENSG00000006377	DLX6	distal-less homeobox 6	protein_coding	7	96634860	96640351	6	0.198358824959351	0.212430586690761	0.212430586690761	0.672782951457549
ENSG00000006432	MAP3K9	mitogen-activated protein kinase kinase kinase 9	protein_coding	14	71189243	71276251	22	0.889124015029624	0.697879205281933	0.889124015029624	0.0510376594046636
ENSG00000006451	RALA	v-ral simian leukemia viral oncogene homolog A (ras related)	protein_coding	7	39663082	39747723	5	0.143671824383725	0.113118038844474	0.143671824383725	0.842628393413799
ENSG00000006453	BAIAP2L1	BAI1-associated protein 2-like 1	protein_coding	7	97920963	98030380	20	0.894082248419278	0.772891199721009	0.894082248419278	0.0486225277459073
ENSG00000006459	JHDM1D	lysine (K)-specific demethylase 7A	protein_coding	7	139784546	139876835	9	0.0151439856199715	6.89679530294875e-05	0.0151439856199715	1.81975981143002
ENSG00000006468	ETV1	ets variant 1	protein_coding	7	13930853	14031050	4	0.661976647025286	0.665152442194168	0.665152442194168	0.177078810010247
ENSG00000006530	AGK	acylglycerol kinase	protein_coding	7	141251105	141355044	10	0.933836606430937	0.959417693192669	0.959417693192669	0.0179922767132634
ENSG00000006534	ALDH3B1	aldehyde dehydrogenase 3 family, member B1	protein_coding	11	67776048	67796743	13	0.812906799074261	0.805423510491144	0.812906799074261	0.0899592440344937
ENSG00000006555	TTC22	tetratricopeptide repeat domain 22	protein_coding	1	55245385	55266940	6	0.00643765162715998	0.00574540759560884	0.00643765162715998	2.19127252881469
ENSG00000006576	PHTF2	putative homeodomain transcription factor 2	protein_coding	7	77428122	77586818	2	0.726385359756995	0.996088489594451	0.996088489594451	0.00170207840813186
ENSG00000006606	CCL26	chemokine (C-C motif) ligand 26	protein_coding	7	75398851	75419214	9	0.22428116778663	0.257853686887486	0.257853686887486	0.588626654509571
ENSG00000006607	FARP2	FERM, RhoGEF and pleckstrin domain protein 2	protein_coding	2	242295658	242431094	33	0.99396614103971	0.834757817326565	0.99396614103971	0.00262840937539214
ENSG00000006611	USH1C	Usher syndrome 1C (autosomal recessive, severe)	protein_coding	11	17515442	17565963	7	0.896775138986532	0.995711003184846	0.995711003184846	0.00186669363897416
ENSG00000006625	GGCT	gamma-glutamylcyclotransferase	protein_coding	7	30536237	30544460	24	0.8595057525831	0.527287038970599	0.8595057525831	0.065751212279155
ENSG00000006634	DBF4	DBF4 homolog (S. cerevisiae)	protein_coding	7	87505673	87538856	5	0.645201883892067	0.651450402027791	0.651450402027791	0.18611864356705
ENSG00000006638	TBXA2R	thromboxane A2 receptor	protein_coding	19	3594504	3606838	8	0.273050964223501	0.360171836640137	0.360171836640137	0.443490249511966
ENSG00000006652	IFRD1	interferon-related developmental regulator 1	protein_coding	7	112063023	112121045	38	0.99808855294952	0.781876971272717	0.99808855294952	0.000830925294558624
ENSG00000006695	COX10	cytochrome c oxidase assembly homolog 10 (yeast)	protein_coding	17	13972813	14111994	9	0.478077195508654	0.292164956223949	0.478077195508654	0.3205019718469
ENSG00000006704	GTF2IRD1	GTF2I repeat domain containing 1	protein_coding	7	73868120	74016931	8	0.247821387691722	0.0734829060589403	0.247821387691722	0.605861215491555
ENSG00000006712	PAF1	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)	protein_coding	19	39876492	39881835	5	0.205683145055795	0.302712481375977	0.302712481375977	0.518969671937509
ENSG00000006715	VPS41	vacuolar protein sorting 41 homolog (S. cerevisiae)	protein_coding	7	38762563	38971994	28	0.934406846881076	0.693460935366527	0.934406846881076	0.0294639879202726
ENSG00000006740	ARHGAP44	Rho GTPase activating protein 44	protein_coding	17	12692856	12894960	13	0.0410255034941872	0.011877455007516	0.0410255034941872	1.38694608027108
ENSG00000006744	ELAC2	elaC ribonuclease Z 2	protein_coding	17	12895708	12921504	43	0.0343194812920991	0.0264741324455764	0.0343194812920991	1.46445928474179
ENSG00000006747	SCIN	scinderin	protein_coding	7	12610475	12693228	21	0.0223993952312446	0.0221506717545306	0.0223993952312446	1.64976370716936
ENSG00000006788	MYH13	myosin, heavy chain 13, skeletal muscle	protein_coding	17	10201401	10276447	2	0.52097366954513	0.525621483241953	0.525621483241953	0.279326892567831
ENSG00000006831	ADIPOR2	adiponectin receptor 2	protein_coding	12	1797740	1897844	6	0.563905840120401	0.614440183227856	0.614440183227856	0.211520390008661
ENSG00000006837	CDKL3	cyclin-dependent kinase-like 3	protein_coding	5	133621932	133706738	4	0.0368068890207232	0.0414803726320015	0.0414803726320015	1.38215735085351
ENSG00000007001	UPP2	uridine phosphorylase 2	protein_coding	2	158733214	158992666	2	0.683644417261869	0.900611976459639	0.900611976459639	0.0454622820280383
ENSG00000007038	PRSS21	protease, serine, 21 (testisin)	protein_coding	16	2867164	2876305	5	0.768742780774024	0.845920479605354	0.845920479605354	0.0726704607101245
ENSG00000007047	MARK4	MAP/microtubule affinity-regulating kinase 4	protein_coding	19	45754516	45808541	6	0.238399919253131	0.135039026622613	0.238399919253131	0.622693896028804
ENSG00000007062	PROM1	prominin 1	protein_coding	4	15965871	16086001	14	0.438687502530363	0.309191080733542	0.438687502530363	0.357844737738688
ENSG00000007080	CCDC124	coiled-coil domain containing 124	protein_coding	19	18043825	18054800	26	0.982042953592162	0.712358844313716	0.982042953592162	0.00786951618445256
ENSG00000007129	CEACAM21	carcinoembryonic antigen-related cell adhesion molecule 21	protein_coding	19	42055886	42093197	29	0.250235327821372	0.262106106912032	0.262106106912032	0.581522860139628
ENSG00000007168	PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)	protein_coding	17	2496504	2588909	5	0.51224383789777	0.389162621962795	0.51224383789777	0.290523257295907
ENSG00000007171	NOS2	nitric oxide synthase 2, inducible	protein_coding	17	26083792	26127525	39	0.0503558832502876	0.0105695328769323	0.0503558832502876	1.29794978203447
ENSG00000007174	DNAH9	dynein, axonemal, heavy chain 9	protein_coding	17	11501748	11873065	4	0.063049026457211	0.19887377390779	0.19887377390779	0.701422484839881
ENSG00000007202	KIAA0100	KIAA0100	protein_coding	17	26941458	26972472	3	0.651183091192169	0.715061134786019	0.715061134786019	0.145656826219606
ENSG00000007216	SLC13A2	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	protein_coding	17	26800311	26824799	2	0.513836324626439	0.510719443025128	0.513836324626439	0.289175197408725
ENSG00000007237	GAS7	growth arrest-specific 7	protein_coding	17	9813926	10101868	7	0.553283349311834	0.648022724955968	0.648022724955968	0.188409763959766
ENSG00000007255	TRAPPC6A	trafficking protein particle complex 6A	protein_coding	19	45666186	45681495	9	0.333719779512682	0.213908013279946	0.333719779512682	0.476618052024741
ENSG00000007264	MATK	megakaryocyte-associated tyrosine kinase	protein_coding	19	3777971	3802127	7	0.773528847503761	0.792305645640911	0.792305645640911	0.101107249460314
ENSG00000007306	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7	protein_coding	19	42177235	42210895	4	0.478737692456921	0.531100607822875	0.531100607822875	0.274823201548346
ENSG00000007312	CD79B	CD79b molecule, immunoglobulin-associated beta	protein_coding	17	62006100	62009714	12	0.536030548497306	0.285527366269422	0.536030548497306	0.270810459065145
ENSG00000007314	SCN4A	sodium channel, voltage-gated, type IV, alpha subunit	protein_coding	17	62015914	62050278	4	0.685927605824127	0.819018301747004	0.819018301747004	0.0867063934057285
ENSG00000007341	ST7L	suppression of tumorigenicity 7 like	protein_coding	1	113081781	113163447	43	0.00860043086193022	0.0156974430017587	0.0156974430017587	1.80417108521286
ENSG00000007372	PAX6	paired box 6	protein_coding	11	31806340	31839509	11	0.870117552046386	0.829913107484699	0.870117552046386	0.0604220706499164
