ENSGID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END	nPredEBM	pPredEBM	nPredHMP	pPredHMP	nTWAShmp	pTWAShmp	nTWASomni	pTWASomni	minP	maxPpred	maxPtwas	Near_GWAS
ENSG00000169762	TAPT1	transmembrane anterior posterior transformation 1 [Source:HGNC Symbol;Acc:26887]	protein_coding	4	16162128	16228164	12	0.000366919234821054	12	1.48328488869713e-05	4	0.00873870415446692	4	0.00533	1.48328488869713e-05	0.000366919234821054	0.00873870415446692	no
ENSG00000164366	CCDC127	coiled-coil domain containing 127 [Source:HGNC Symbol;Acc:30520]	protein_coding	5	196986	218330	26	0.000543471918016882	26	0.00230553455372501	33	1.98724251921348e-05	27	2.3e-07	2.3e-07	0.00230553455372501	1.98724251921348e-05	yes
ENSG00000250848	CTD-2083E4.5		pseudogene	5	288948	290436	10	0.00294708607209598	10	6.95713438842446e-06	14	0.00627750702817307	12	1.41e-06	1.41e-06	0.00294708607209598	0.00627750702817307	yes
ENSG00000063438	AHRR	aryl-hydrocarbon receptor repressor [Source:HGNC Symbol;Acc:346]	protein_coding	5	304291	438406	19	9.28705978002235e-05	19	0.0021501836978941	16	0.0016774126226265	15	1.63e-05	1.63e-05	0.0021501836978941	0.0016774126226265	yes
ENSG00000221990	C5orf55	chromosome 5 open reading frame 55 [Source:HGNC Symbol;Acc:25175]	protein_coding	5	441645	443258	39	1.08095019393681e-05	39	2.4726505459077e-07	37	1.43640984645911e-07	25	2.93e-07	1.43640984645911e-07	1.08095019393681e-05	2.93e-07	yes
ENSG00000180104	EXOC3	exocyst complex component 3 [Source:HGNC Symbol;Acc:30378]	protein_coding	5	443273	470102	42	1.66406986491143e-08	42	5.53589468152762e-07	41	2.96952106383188e-10	26	3.01e-07	2.96952106383188e-10	5.53589468152762e-07	3.01e-07	yes
ENSG00000188242	CTD-2228K2.5	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:D6RHG8]	protein_coding	5	466239	473213	11	2.24459244150681e-06	11	8.43328848463364e-06	10	4.33724496837501e-08	10	3.5e-06	4.33724496837501e-08	8.43328848463364e-06	3.5e-06	yes
ENSG00000112877	CEP72	centrosomal protein 72kDa [Source:HGNC Symbol;Acc:25547]	protein_coding	5	612387	667283	22	1.53601164138353e-10	22	1.76729230902129e-10	23	8.20020299103181e-13	16	1.75e-09	8.20020299103181e-13	1.76729230902129e-10	1.75e-09	yes
ENSG00000171368	TPPP	tubulin polymerization promoting protein [Source:HGNC Symbol;Acc:24164]	protein_coding	5	660883	693510	19	1.99977491572519e-28	19	8.85400149036664e-08	18	1.86970409676097e-11	15	2.71e-09	1.99977491572519e-28	8.85400149036664e-08	2.71e-09	yes
ENSG00000268885	AC026740.1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0R2Q8]	protein_coding	5	667759	668839	21	0.000209824920418649	21	4.65062511448643e-05	24	7.92202302573129e-07	22	8.77e-08	8.77e-08	0.000209824920418649	7.92202302573129e-07	yes
ENSG00000188818	ZDHHC11	zinc finger, DHHC-type containing 11 [Source:HGNC Symbol;Acc:19158]	protein_coding	5	710471	851101	32	3.32261461416669e-06	32	3.53825637421884e-06	25	6.30190365748068e-11	25	5.21e-09	6.30190365748068e-11	3.53825637421884e-06	5.21e-09	yes
ENSG00000206077	ZDHHC11B	zinc finger, DHHC-type containing 11B [Source:HGNC Symbol;Acc:32962]	protein_coding	5	710709	767067	21	8.62813562989199e-05	21	3.39848832093418e-08	15	1.3100934412543e-09	15	1.5e-08	1.3100934412543e-09	8.62813562989199e-05	1.5e-08	yes
ENSG00000028310	BRD9	bromodomain containing 9 [Source:HGNC Symbol;Acc:25818]	protein_coding	5	863851	892757	15	0.00346654164958976	15	0.00274243235687891	6	2.68753183719115e-05	5	2.6e-05	2.6e-05	0.00346654164958976	2.68753183719115e-05	yes
ENSG00000204539	CDSN	corneodesmosin [Source:HGNC Symbol;Acc:1802]	protein_coding	6	31082867	31088223	2	0.000476257220960615	2	0.000646370947036716	2	0.000174937291788562	2	0.000611	0.000174937291788562	0.000646370947036716	0.000611	no
ENSG00000225851	HLA-S	major histocompatibility complex, class I, S (pseudogene) [Source:HGNC Symbol;Acc:19395]	pseudogene	6	31349851	31350065	32	0.00317961017086764	32	0.00351980089243074	21	0.00521474796988172	19	0.00592	0.00317961017086764	0.00351980089243074	0.00592	no
ENSG00000231852	CYP21A2	cytochrome P450, family 21, subfamily A, polypeptide 2 [Source:HGNC Symbol;Acc:2600]	protein_coding	6	32006042	32009447	31	0.00377197614509328	31	0.00148337330858496	35	0.000773852203662018	35	0.00259	0.000773852203662018	0.00377197614509328	0.00259	yes
ENSG00000204314	PRRT1	proline-rich transmembrane protein 1 [Source:HGNC Symbol;Acc:13943]	protein_coding	6	32116136	32121621	14	0.000757479010281193	14	1.84599925787599e-07	11	0.000531361321217722	11	4.17e-05	1.84599925787599e-07	0.000757479010281193	0.000531361321217722	yes
ENSG00000204305	AGER	advanced glycosylation end product-specific receptor [Source:HGNC Symbol;Acc:320]	protein_coding	6	32148745	32152101	23	0.000897598384426187	23	0.000743850786926009	17	0.000317480033270959	17	0.0065	0.000317480033270959	0.000897598384426187	0.0065	yes
ENSG00000196301	HLA-DRB9	major histocompatibility complex, class II, DR beta 9 (pseudogene) [Source:HGNC Symbol;Acc:4957]	pseudogene	6	32427598	32441277	28	0.00048690287574977	28	0.000249370390193748	14	0.00128565180064638	11	0.00183	0.000249370390193748	0.00048690287574977	0.00183	yes
ENSG00000229391	HLA-DRB6	major histocompatibility complex, class II, DR beta 6 (pseudogene) [Source:HGNC Symbol;Acc:4954]	pseudogene	6	32520490	32527799	49	1.93562386700113e-08	49	2.02656689552475e-08	47	1.14395459244228e-06	8	1.06e-05	1.93562386700113e-08	2.02656689552475e-08	1.06e-05	yes
ENSG00000196126	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:4948]	protein_coding	6	32546546	32557625	46	6.55251814664875e-07	46	3.44155930527576e-07	35	3.09847362832217e-06	21	5.06e-05	3.44155930527576e-07	6.55251814664875e-07	5.06e-05	yes
ENSG00000196735	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:4942]	protein_coding	6	32595956	32611429	40	7.26648841151062e-07	40	9.9321922780453e-07	31	2.03988800004591e-06	10	1e-04	7.26648841151062e-07	9.9321922780453e-07	1e-04	yes
ENSG00000179344	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:4944]	protein_coding	6	32627244	32636160	50	1.32157793673705e-05	50	3.63841711901297e-05	47	0.000387243472896722	8	0.000295	1.32157793673705e-05	3.63841711901297e-05	0.000387243472896722	yes
ENSG00000237541	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:4943]	protein_coding	6	32709119	32714992	50	3.91870363641391e-08	50	5.64710652740972e-07	46	1.49628536429799e-06	6	0.000254	3.91870363641391e-08	5.64710652740972e-07	0.000254	yes
ENSG00000111817	DSE	dermatan sulfate epimerase [Source:HGNC Symbol;Acc:21144]	protein_coding	6	116575336	116762424	11	0.000919596977133904	11	0.000226716686649419	11	9.71997192907174e-05	11	0.000255	9.71997192907174e-05	0.000919596977133904	0.000255	no
ENSG00000164818	HEATR2	HEAT repeat containing 2 [Source:HGNC Symbol;Acc:26013]	protein_coding	7	766615	829190	36	0.00448047732232304	36	0.00119971217400462	33	0.00367322906000764	22	0.00576	0.00119971217400462	0.00448047732232304	0.00576	no
ENSG00000105976	MET	met proto-oncogene [Source:HGNC Symbol;Acc:7029]	protein_coding	7	116312444	116438440	21	6.97825114895583e-09	21	0.00657809228762334	20	5.45555973863964e-06	16	3.18e-07	6.97825114895583e-09	0.00657809228762334	5.45555973863964e-06	no
ENSG00000254608	RP11-56A10.1		pseudogene	8	55561553	55782463	5	0.00114872717270802	5	0.00975586967868117	2	0.000842369046519718	2	0.000667	0.000667	0.00975586967868117	0.000842369046519718	no
ENSG00000171159	C9orf16	chromosome 9 open reading frame 16 [Source:HGNC Symbol;Acc:17823]	protein_coding	9	130922539	130926207	8	0.00162577513098324	8	0.00889122979930661	6	0.00405311603695507	6	0.00957	0.00162577513098324	0.00889122979930661	0.00957	no
ENSG00000110435	PDHX	pyruvate dehydrogenase complex, component X [Source:HGNC Symbol;Acc:21350]	protein_coding	11	34937376	35042138	27	0.00325455122188601	27	0.00111428483110534	30	0.000510903734405194	25	2.8e-07	2.8e-07	0.00325455122188601	0.000510903734405194	yes
ENSG00000214872	SMTNL1	smoothelin-like 1 [Source:HGNC Symbol;Acc:32394]	protein_coding	11	57308979	57318108	48	9.87022526615585e-05	48	0.000367698996167026	45	0.000893569316561548	7	0.00823	9.87022526615585e-05	0.000367698996167026	0.00823	no
ENSG00000135457	TFCP2	transcription factor CP2 [Source:HGNC Symbol;Acc:11748]	protein_coding	12	51487446	51566926	6	0.0021465985221771	6	0.00314685141478556	3	0.00267269074293168	3	0.000581	0.000581	0.00314685141478556	0.00267269074293168	no
ENSG00000135114	OASL	2'-5'-oligoadenylate synthetase-like [Source:HGNC Symbol;Acc:8090]	protein_coding	12	121458095	121477045	5	0.00132137000843488	5	0.00582707471685552	4	0.00112607438113545	4	0.000243	0.000243	0.00582707471685552	0.00112607438113545	no
ENSG00000182107	TMEM30B	transmembrane protein 30B [Source:HGNC Symbol;Acc:27254]	protein_coding	14	61744088	61748558	6	0.00107904398104593	6	3.94746630305436e-05	5	0.00222844162937974	5	0.00992	3.94746630305436e-05	0.00107904398104593	0.00992	no
ENSG00000103707	MTFMT	mitochondrial methionyl-tRNA formyltransferase [Source:HGNC Symbol;Acc:29666]	protein_coding	15	65294845	65321977	6	0.000414832214486901	6	0.00588862761971433	2	0.00094623860775079	2	0.00216	0.000414832214486901	0.00588862761971433	0.00216	no
ENSG00000166869	CHP2	calcineurin-like EF-hand protein 2 [Source:HGNC Symbol;Acc:24927]	protein_coding	16	23765948	23770272	4	0.0030559589223063	4	0.00368159614897027	3	8.06891847787373e-06	3	5.87e-05	8.06891847787373e-06	0.00368159614897027	5.87e-05	yes
ENSG00000166501	PRKCB	protein kinase C, beta [Source:HGNC Symbol;Acc:9395]	protein_coding	16	23847322	24231932	19	3.05123867524268e-06	19	0.000101115283366769	16	0.00961960319192706	13	0.00605	3.05123867524268e-06	0.000101115283366769	0.00961960319192706	yes
ENSG00000259957	RP11-491F9.8		lincRNA	16	49328797	49330647	2	0.00330342924109798	2	0.0049641136232677	2	0.00114546814707832	2	0.00294	0.00114546814707832	0.0049641136232677	0.00294	no
ENSG00000198336	MYL4	myosin, light chain 4, alkali; atrial, embryonic [Source:HGNC Symbol;Acc:7585]	protein_coding	17	45277812	45301045	14	6.26013900102634e-05	14	0.00274130709847335	10	0.00561830240047549	6	0.00871	6.26013900102634e-05	0.00274130709847335	0.00871	no
ENSG00000167220	HDHD2	haloacid dehalogenase-like hydrolase domain containing 2 [Source:HGNC Symbol;Acc:25364]	protein_coding	18	44634434	44676891	22	0.000374940540309857	22	0.000246505217574784	16	0.00019233190463454	11	0.00387	0.00019233190463454	0.000374940540309857	0.00387	no
ENSG00000187045	TMPRSS6	transmembrane protease, serine 6 [Source:HGNC Symbol;Acc:16517]	protein_coding	22	37461476	37505603	7	0.00245131025118124	7	0.00122595153008454	2	0.00362852000521984	2	0.000977	0.000977	0.00245131025118124	0.00362852000521984	no
ENSG00000100418	DESI1	desumoylating isopeptidase 1 [Source:HGNC Symbol;Acc:24577]	protein_coding	22	41994032	42017100	19	0.00237876086452003	19	0.00381426477002565	17	0.000399244146411768	17	0.00258	0.000399244146411768	0.00381426477002565	0.00258	no
