GENE	AdiposeSubcutaneous	AdiposeVisceralOmentum	AdrenalGland	ArteryAorta	ArteryCoronary	ArteryTibial	BrainAmygdala	BrainAnteriorcingulatecortexBA24	BrainCaudatebasalganglia	BrainCerebellarHemisphere	BrainCerebellum	BrainCortex	BrainFrontalCortexBA9	BrainHippocampus	BrainHypothalamus	BrainNucleusaccumbensbasalganglia	BrainPutamenbasalganglia	BrainSpinalcordcervicalc-1	BrainSubstantianigra	BreastMammaryTissue	CellsEBV-transformedlymphocytes	CellsTransformedfibroblasts	ColonSigmoid	ColonTransverse	EsophagusGastroesophagealJunction	EsophagusMucosa	EsophagusMuscularis	HeartAtrialAppendage	HeartLeftVentricle	Liver	Lung	MinorSalivaryGland	MuscleSkeletal	NerveTibial	Ovary	Pancreas	Pituitary	Prostate	SkinNotSunExposedSuprapubic	SkinSunExposedLowerleg	SmallIntestineTerminalIleum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	WholeBlood	DGN-WholeBlood	LCL753	ns132
TAPT1	NA	NA	NA	0.132740136	NA	0.1819194	NA	NA	-1.787398602	NA	NA	NA	NA	NA	NA	NA	-0.903593073	NA	NA	0.006318593	NA	NA	NA	NA	0.09577272	NA	NA	0.215328137	NA	NA	NA	NA	-1.24069374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.907972005	-1.056030632	NA	NA	0.573908822	-1.416117964	NA	NA
CCDC127	0.093960999	-0.184382685	-2.804229857	NA	NA	NA	-0.009923676	NA	NA	-2.074355931	-1.994226132	-0.114555254	-3.417785375	NA	NA	-3.264795543	NA	NA	NA	NA	NA	0.198426921	-3.291999058	NA	-1.231679788	0.035088992	-2.365193634	-0.862843481	-3.554258587	NA	NA	NA	-2.140328785	0.007455534	NA	NA	-0.654909425	NA	-0.077323861	-1.644664205	-2.039142683	NA	-1.525180102	NA	0.036220875	NA	NA	NA	-1.832919774	-0.145428356	NA
CTD-2083E4.5	-1.04254139	NA	NA	-1.916651954	NA	NA	NA	NA	NA	NA	-6.157469076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.085923847	-2.13915444	-1.38578307	NA	NA	NA	-1.215344059	NA	NA	NA	-0.475119416	NA	NA	-1.324756858	NA	NA	NA	NA	NA	NA	-2.220391416	NA	NA	NA	NA	NA	NA
AHRR	NA	-3.601350995	NA	NA	NA	3.202091133	NA	NA	NA	2.671882942	0.953737476	0.528410097	NA	NA	NA	NA	NA	0.810431057	NA	1.065781812	NA	NA	NA	NA	-1.510902143	1.962198807	1.457193702	1.193005923	NA	NA	NA	NA	0.596767213	0.194805771	NA	NA	NA	NA	NA	-1.908662835	NA	NA	3.307935567	-2.783305165	1.4135584	NA	NA	-0.066455846	0.191019087	NA	NA
C5orf55	-7.172041444	-5.69722816	-0.905780837	-3.417448233	-4.942043592	-8.10535399	NA	-4.481676633	-1.237588637	1.53401474	-0.462443201	-1.731009584	-2.163252457	NA	-3.379953338	-5.049035556	NA	NA	NA	-6.413548941	-1.897584756	-3.528507946	NA	-5.153621787	-4.190108842	-2.141341392	-5.561423371	-6.241057355	-6.062228773	NA	-2.331979206	-5.481137534	-5.125362954	-6.79230742	NA	-0.76689732	-2.198082173	-1.23218004	-2.086293986	-1.516243023	-6.09313702	NA	-4.843888325	-5.732578532	-5.25189917	NA	-3.155543361	-0.520512008	-0.227281528	NA	NA
EXOC3	4.308728547	7.227423885	4.811310794	7.356091785	5.862227628	6.239776261	4.544470839	6.732426023	4.618593301	5.72503287	4.854041322	3.404336013	4.611074961	6.213525285	5.632158256	4.746229278	4.961049045	3.48983628	6.830051432	3.842640315	NA	4.324627975	5.624771553	3.582025885	6.410503886	5.16782665	6.591940913	6.226475108	5.353629126	4.815059906	6.088021879	NA	4.287768229	2.455800183	NA	5.722404414	NA	5.585893264	NA	-1.581430178	NA	5.784466294	6.617380363	3.759782318	5.105540699	NA	NA	5.904218517	6.23864049	2.384572866	NA
CTD-2228K2.5	-1.846854462	-2.076897688	-2.449134374	NA	NA	NA	NA	NA	NA	NA	0.458793373	NA	NA	NA	NA	-0.481424128	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.481024187	NA	NA	-6.100134664	NA	NA	NA	-2.074235777	NA	NA	NA	NA	-1.942935139	NA	NA	NA	NA	NA	-4.128466247	-2.90187379	NA	NA	NA	NA	NA	NA
CEP72	6.576819155	7.499450396	3.315538753	4.478671954	NA	7.043066458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.877349194	NA	NA	5.809868206	6.154473508	7.638160896	5.127275049	6.158704427	6.131996239	NA	NA	NA	NA	NA	6.483950572	7.75017943	6.635471125	NA	NA	NA	NA	NA	NA	4.88103541	11.09420585	7.972271822	NA	5.216143842	-0.122987643	1.407505021	-0.327286564	NA
TPPP	NA	NA	NA	-5.356553527	NA	NA	-3.44477469	-4.250191937	-5.822440194	-7.045682683	-7.311983708	-8.248178076	-6.686828436	NA	NA	-4.21304452	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.03895453	NA	NA	NA	-0.01424639	NA	NA	NA	-0.815578647	NA	NA	-2.670519505	NA	NA	-0.086668616	NA	NA	NA	3.029230527	-0.254214323	NA	0.173597053	4.922773704	4.115637757	NA	NA
AC026740.1	4.075132028	2.567672978	NA	0.156705742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.735308697	4.973367542	5.363368703	2.138547783	NA	1.570377895	NA	NA	3.384502828	NA	NA	1.239349072	NA	0.283593903	NA	4.056355473	0.81219591	-2.106183906	1.223506778	4.886741698	2.340251966	0.069132498	4.164017571	NA	2.732111464	3.878090404	NA	NA	NA
ZDHHC11	-0.401747604	-0.582029208	NA	2.037289158	NA	3.626723754	0.199485309	0.466083295	0.073932849	NA	NA	1.294583327	3.249515707	0.893237154	NA	0.483916345	0.415293707	NA	NA	0.115297946	NA	NA	-0.194881705	NA	-0.96489046	4.004604241	6.90700717	1.801676456	1.08324343	2.498067399	1.520949522	4.321426554	3.473230484	0.746748544	NA	4.044551715	0.013302742	NA	3.956473149	5.957311359	NA	2.76119081	3.083968687	NA	1.696650167	NA	NA	NA	3.482137415	NA	NA
ZDHHC11B	-0.880146397	2.138195939	NA	0.340557839	NA	1.16570584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.357829477	NA	-0.189198153	1.592653188	0.304924323	1.544840825	0.231973111	NA	NA	0.692442465	8.790917757	NA	4.34942461	1.434747666	-0.656674203	1.45508031	NA	NA	NA	0.926283644	NA	-0.673077866	NA	1.103919793	2.168550574	NA	NA	0.417481518	NA	NA	NA
BRD9	NA	-0.114434752	NA	NA	NA	-0.957888981	NA	NA	NA	-0.724046686	NA	-1.308235304	NA	NA	NA	NA	NA	NA	NA	NA	0.157998177	-3.7100811	-0.787086654	-2.576726657	-0.412527175	NA	NA	NA	NA	NA	NA	NA	NA	-1.359701566	NA	NA	0.122281063	NA	NA	-0.101219313	-1.180080182	NA	NA	NA	0.506915079	NA	NA	NA	-0.229628495	NA	NA
CDSN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.385847106	-2.831819711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HLA-S	-2.259245053	-2.123231336	-2.018429322	-1.952604495	-1.757635669	-1.255634756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.238351372	-2.454449946	-3.4717244	-2.333966073	-2.520679361	-1.708153512	-1.649796316	-2.3610324	-1.758197097	-0.863544345	-1.705997483	-2.730183809	-2.52668784	NA	-2.252118072	NA	NA	-0.835616951	-1.545281628	-1.112935304	-1.776729005	-1.934904813	-1.491051757	-1.656217378	NA	-2.121064139	-3.01910634	-1.790244779	-3.295586039	NA	-0.430777529	NA
CYP21A2	-1.035018436	NA	NA	-0.656914248	NA	-0.287821985	NA	NA	NA	-3.592324991	-1.999425427	-0.574322999	NA	NA	-3.702255353	NA	NA	NA	NA	-1.831107771	NA	-0.050002985	-1.66862003	-1.070715915	-1.025888248	-0.309723554	-2.547105454	-2.434565937	NA	-2.353011739	-2.659452486	NA	-0.110120147	-3.206227881	-0.944775036	NA	-2.776305651	-1.285363385	-1.031849504	-1.902311368	-1.924598548	NA	-0.119805107	-1.131773041	-2.887148451	NA	NA	-0.332226071	-3.874393438	NA	-0.603486524
PRRT1	-2.599943486	-2.10622843	-7.879857701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.850665529	NA	-2.313986358	NA	-1.916272162	NA	-2.038199222	NA	NA	NA	-0.672157544	NA	NA	NA	-3.778936339	NA	NA	NA	-0.088545912	-1.203902128	-1.712252662	NA	NA	NA	NA	-1.126884475	NA	NA	NA	-0.501404851	NA	NA
AGER	-1.072369417	-0.726630287	-3.434316133	-0.79975375	NA	-0.967505972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.798785783	-0.589594065	NA	NA	-2.483410343	NA	-0.66436371	-2.770623001	-1.389234051	NA	-2.163097862	NA	0.757474602	NA	-0.851833185	-2.367818811	NA	-0.835939432	NA	-2.254466453	NA	-4.388752232	NA	NA	-3.11644686	-3.007793926	NA	-1.470947435	NA	-0.60167413	-0.440877224	NA	NA
HLA-DRB9	-1.365848424	-2.336172196	-3.475946495	-2.142605394	-2.37237852	-2.706842701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.021754559	-1.638747205	NA	NA	-2.257484597	-2.317243166	-4.942142851	-1.932323258	-2.494244965	-0.965599139	NA	-2.729806092	NA	-1.991869338	-3.128664467	NA	NA	NA	-1.866261871	-2.699567654	-2.719033468	-1.231546323	-1.612609364	NA	NA	-3.355957644	0.003609943	-3.539525652	-2.795201491	NA	-0.803206415	-4.025954311
HLA-DRB6	-6.499206063	-8.007277435	-6.353742737	-7.313720988	-5.502190951	-6.982495817	-7.92796702	-6.089104511	-6.728386361	-7.152165112	-7.5396519	-5.269969242	-6.571238131	-9.003900076	-7.061259692	-6.611293655	-6.047848696	-3.863759081	-7.553433162	-8.357903864	-2.946599377	NA	-6.344492593	-7.998883192	-8.395677347	-7.281484829	-6.997439271	-7.131668414	-6.312770448	-6.686691034	-7.266334549	-7.071293678	-7.423555306	-7.662727848	-7.992072613	-6.280749303	-7.867990749	-7.086533411	-7.243139159	-7.780530095	-5.002447509	-4.829466452	-6.320709491	-6.875472415	-7.407187174	-7.607700412	-4.393585893	-6.60249408	NA	-0.835365061	-0.610207363
HLA-DRB1	4.064358944	4.617087011	NA	5.274357359	6.146662228	4.968932488	2.174224396	6.844940232	4.222493226	4.909185186	3.209270399	4.385649198	3.559783638	3.824296758	5.128421534	8.065815712	5.98842817	3.889283899	4.407057989	5.945893054	0.422005494	3.245178342	0.326547624	3.649083361	1.903750766	5.303128428	-0.125750021	6.080054755	3.992687708	NA	5.302199858	NA	4.098790807	5.753256756	NA	5.091117843	3.328087848	4.67840613	6.2195435	4.863972828	5.772096026	0.044952227	5.756865591	2.568723534	5.942123755	2.786890937	NA	3.478180145	5.414155012	2.189396829	2.993833295
HLA-DQA1	5.658577316	3.717606379	NA	4.733359971	2.950523722	5.843030888	NA	3.12896972	3.51164231	NA	NA	2.646658983	3.490985191	NA	NA	NA	NA	4.798971758	-0.608656324	4.914921694	4.909950977	NA	3.524100467	4.214718812	3.108987033	6.35907503	4.908505152	4.09281857	4.959409261	2.497873901	5.977554861	1.626567987	3.681145384	3.447549079	NA	4.588256144	4.471992972	4.903300866	5.191060054	4.728601745	7.537920279	3.796872173	5.296042318	1.957161811	5.474513016	3.846974099	NA	3.439137129	2.060008201	-0.756692607	2.309703894
HLA-DQB1	4.714143826	4.218001601	2.702387959	2.737148676	3.275514051	2.988056706	3.143899821	3.755963208	4.453173332	4.701978395	4.723578195	4.174211638	3.338425351	4.259812101	3.532584434	5.562798896	4.169174142	3.570573744	4.081340227	4.743476761	5.187059304	NA	3.989989309	3.370969862	4.478282761	3.772489046	5.101319854	4.913433287	4.340218781	3.122645143	3.652709857	2.273611945	4.413783876	3.75568892	3.163659005	3.893948588	4.252571187	4.486660439	3.919512062	4.511660821	3.593682062	3.71344318	4.062942908	2.415799023	4.28722963	4.634231051	2.31654873	4.329916582	2.07214403	1.448196281	2.683322056
HLA-DQA2	-5.30007892	-6.980527174	-5.735302706	-5.817276972	-3.957222885	-6.039526431	-5.502102787	-4.386368182	-5.226931377	-4.718673856	-5.978539982	-5.292060522	-4.647018583	-5.795963982	-4.308637664	-4.078727054	-4.431086173	-5.250817613	-4.859356765	-7.310688505	-7.23099743	NA	-5.102475112	-6.112934103	-6.116101517	-5.899746877	-5.3551354	-4.668295801	-5.175834415	-3.944187701	-6.236337123	-4.790804587	-5.712914675	-5.71382396	-6.050264684	-5.679717902	-5.868072233	-5.937970087	-5.061522226	-6.707022773	-6.793348647	-6.632063793	-6.203704688	-5.853106839	-5.495399201	-5.703479751	-5.550878031	-6.716580258	-6.283726104	0.032954594	-4.077606963
DSE	NA	NA	NA	NA	-0.14772027	NA	NA	NA	-1.36643023	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.416653556	NA	-1.469612809	0.676135396	NA	NA	NA	NA	0.272549249	NA	NA	NA	NA	NA	NA	-4.685184252	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.106319599	NA	NA	NA	0.127031762	0.166770182	-0.754994718	NA
HEATR2	3.106798412	1.385073438	0.706231664	2.260356789	1.503034546	1.815212645	NA	NA	0.325179134	4.254529513	3.6020371	NA	NA	NA	1.092836764	NA	NA	0.705281368	0.455583821	0.844146581	NA	1.097030508	1.521556006	2.53643466	1.148830947	1.006058182	1.930980157	-1.447859205	NA	0.914078633	3.044228968	NA	0.413388409	2.294864576	NA	2.414164722	1.301502606	NA	1.113380823	2.792576283	3.121950649	2.12410945	1.118766722	1.833995217	2.516700063	NA	2.656883855	3.221950851	1.690148991	NA	NA
MET	2.126937988	0.320662731	NA	1.007806925	NA	1.287182869	-2.297884879	NA	-2.142903392	-2.170631186	-1.478962548	NA	NA	-2.881436488	-2.304653833	-2.68262482	-2.182389669	-1.928357185	-2.143691236	NA	NA	NA	0.798038725	NA	NA	NA	0.618624531	NA	NA	-0.91288497	2.315852281	NA	NA	-2.643597207	NA	NA	NA	NA	NA	2.053413277	NA	NA	NA	NA	1.907562443	NA	NA	NA	NA	NA	NA
RP11-56A10.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.282917111	-1.591671564	NA	0.232629349	-2.490734432	NA	-0.157051009	NA	NA	NA	NA	NA	NA
C9orf16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.395057142	NA	NA	NA	NA	NA	NA	2.941969062	NA	NA	NA	NA	0.000188432	-0.751130279	-1.014006685	NA	NA	NA	NA	1.515389505	NA	0.059929709	NA	0.526459851	NA	NA
PDHX	NA	NA	-2.758605942	-1.497822617	-1.092661785	-1.422452092	NA	NA	NA	NA	NA	NA	NA	-0.223632488	NA	NA	NA	NA	NA	NA	-0.857473851	-2.118092646	-2.262797314	-3.044376187	-0.919537175	-2.155504796	-4.244748314	-1.588875244	-2.529404039	NA	-2.343072829	NA	-0.053687605	-1.997849164	NA	-0.788399102	-2.344184558	-1.110792106	-2.552748098	-3.474173841	NA	0.702615214	-1.151680354	NA	-1.880930372	NA	NA	NA	-2.517728714	-0.935016606	NA
SMTNL1	3.528709171	3.344054078	2.950652488	3.083749882	3.573776794	1.9164202	2.507155806	1.241913313	3.707596427	2.743447186	2.725697336	3.707577962	3.153609396	3.212941869	2.355267188	2.789983104	2.705402254	4.614579653	2.695731066	2.153121399	2.775270881	4.378120253	2.643355132	2.297273017	2.561994803	2.490384281	2.683118683	3.818712967	2.359414973	2.992383465	3.507195714	NA	NA	3.293456845	3.174962013	2.816659828	3.021645958	1.67096435	2.589501928	2.606189081	4.150570925	1.542114699	2.247502772	1.563346082	3.102076686	2.921921909	3.113289119	1.784773834	2.705865135	NA	1.941280665
TFCP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.317509109	NA	NA	NA	NA	NA	NA	-2.501343164	NA	NA	-0.796313135	NA	NA	NA	-3.210274848	NA	NA	NA	NA	-0.089755871	NA	NA	NA	-0.367253865	NA	NA
OASL	NA	NA	0.25838368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.776844768	NA	NA	NA	NA	NA	NA	-2.511386129	-2.713977281	NA	1.620737087
TMEM30B	NA	NA	0.686271875	NA	NA	0.020808377	NA	-0.223086465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.181986669	NA	NA	NA	NA	NA	NA	-0.958459519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.029517375	NA	NA	NA	NA	NA	NA
MTFMT	NA	NA	NA	NA	NA	-2.19757369	NA	NA	NA	NA	NA	NA	-1.267949395	NA	NA	NA	NA	NA	NA	NA	NA	-0.471948445	NA	NA	NA	NA	-0.272480322	NA	NA	NA	NA	NA	-1.756710168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.915026623	NA	NA
CHP2	-0.002183725	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.59114303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.420979699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.034685214	NA	NA	NA	NA	NA	NA	NA	NA
PRKCB	NA	-0.068167338	-2.074904895	2.334539235	NA	2.224791185	NA	NA	NA	0.202024244	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.22048889	NA	NA	0.460291708	0.652612415	0.332069662	NA	0.506002138	NA	NA	NA	0.964022418	NA	NA	-3.895542891	NA	NA	NA	1.892867931	NA	NA	NA	NA	NA	-1.300882852	-3.884725132	NA	0.239095972	-3.699939106	-2.897444613	-1.483325764	NA
RP11-491F9.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.529144282	-1.884714871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MYL4	-1.126464567	NA	NA	NA	NA	NA	NA	NA	NA	0.221910671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.986461891	-1.348843382	-1.442918912	-3.647959643	-1.511086605	NA	-1.36930991	NA	-1.863330722	NA	NA	NA	NA	NA	NA	NA	NA	-1.67637595	-2.682065441	-1.609565282	-0.496529548	NA	NA	NA	NA	NA	-0.675344629	NA	NA
HDHD2	-0.15833776	0.459676873	4.76923271	2.153488059	NA	0.003642774	-0.471098059	NA	NA	NA	-0.000407259	NA	NA	NA	NA	NA	NA	NA	NA	1.336320536	-0.029757324	0.843188086	NA	0.005973165	NA	-0.880902577	0.006823843	1.563136335	NA	NA	0.044899287	NA	4.426768089	-0.196437843	NA	NA	NA	NA	NA	0.405511967	NA	NA	NA	NA	0.173105249	NA	NA	2.876095885	3.47885377	0.606437435	NA
TMPRSS6	NA	-0.151366619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.667931876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.756234343	NA	NA	NA	NA	NA	NA	NA	NA	0.107713008	NA	NA	0.188809954	-0.589205318	NA	NA	NA	NA	-1.040590294	NA	NA
DESI1	-2.292037871	-2.970889215	NA	-1.052177844	-0.809737141	-0.883451485	NA	NA	NA	NA	NA	NA	-0.708402931	-0.347750251	NA	NA	NA	NA	-2.262495449	-2.822336664	NA	NA	-1.543510102	NA	NA	NA	-1.020026245	-2.464969476	NA	NA	-3.219628467	NA	NA	-2.084633789	NA	-2.9612857	NA	NA	-1.060325918	-1.543949586	NA	NA	-0.481190585	NA	NA	NA	NA	-1.705448688	NA	NA	NA
