ENSGID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END	meanTwasZscore
ENSG00000004779	NDUFAB1	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa [Source:HGNC Symbol;Acc:7694]	protein_coding	16	23592323	23607677	0.991454
ENSG00000004799	PDK4	pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:8812]	protein_coding	7	95212811	95225803	1.30256225
ENSG00000004809	SLC22A16	solute carrier family 22 (organic cation/carnitine transporter), member 16 [Source:HGNC Symbol;Acc:20302]	protein_coding	6	110745890	110797844	-0.713210833333333
ENSG00000004838	ZMYND10	zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:19412]	protein_coding	3	50378660	50384283	0.05869
ENSG00000004864	SLC25A13	solute carrier family 25 (aspartate/glutamate carrier), member 13 [Source:HGNC Symbol;Acc:10983]	protein_coding	7	95749532	95951459	-1.266569
ENSG00000004866	ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:11351]	protein_coding	7	116654942	116870157	-0.134582
ENSG00000004897	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:1728]	protein_coding	17	45195069	45266788	-0.761452857142857
ENSG00000004939	SLC4A1	solute carrier family 4 (anion exchanger), member 1 (Diego blood group) [Source:HGNC Symbol;Acc:11027]	protein_coding	17	42325753	42345509	-0.62455
ENSG00000004975	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:3086]	protein_coding	17	7128660	7137864	0.980636666666667
ENSG00000005001	PRSS22	protease, serine, 22 [Source:HGNC Symbol;Acc:14368]	protein_coding	16	2902728	2908171	0.519666666666667
ENSG00000005007	UPF1	UPF1 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:9962]	protein_coding	19	18942747	18979045	-1.6646
ENSG00000005020	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:15687]	protein_coding	7	26706681	27034858	0.5127274
ENSG00000005059	CCDC109B	coiled-coil domain containing 109B [Source:HGNC Symbol;Acc:26076]	protein_coding	4	110481361	110609784	1.20683833333333
ENSG00000005075	POLR2J	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa [Source:HGNC Symbol;Acc:9197]	protein_coding	7	102113616	102119354	-0.329021928571429
ENSG00000005100	DHX33	DEAH (Asp-Glu-Ala-His) box polypeptide 33 [Source:HGNC Symbol;Acc:16718]	protein_coding	17	5344232	5372380	0.1087455
ENSG00000005102	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:7013]	protein_coding	17	41717756	41739322	0.71971
ENSG00000005108	THSD7A	thrombospondin, type I, domain containing 7A [Source:HGNC Symbol;Acc:22207]	protein_coding	7	11409984	11871824	-0.5886569
ENSG00000005156	LIG3	ligase III, DNA, ATP-dependent [Source:HGNC Symbol;Acc:6600]	protein_coding	17	33307513	33332083	-1.89079039534884
ENSG00000005175	RPAP3	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:26151]	protein_coding	12	48057070	48099844	-0.27315
ENSG00000005187	ACSM3	acyl-CoA synthetase medium-chain family member 3 [Source:HGNC Symbol;Acc:10522]	protein_coding	16	20621565	20807446	-0.4774563
ENSG00000005189	AC004381.6	Putative RNA exonuclease NEF-sp  [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2]	protein_coding	16	20817999	20860987	-0.0150775
ENSG00000005194	CIAPIN1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:28050]	protein_coding	16	57462081	57481348	-0.297659916666667
ENSG00000005206	SPPL2B	signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:30627]	processed_transcript	19	2328620	2355099	0.2272667
ENSG00000005238	FAM214B	family with sequence similarity 214, member B [Source:HGNC Symbol;Acc:25666]	protein_coding	9	35104109	35116338	0.446755125
ENSG00000005243	COPZ2	coatomer protein complex, subunit zeta 2 [Source:HGNC Symbol;Acc:19356]	protein_coding	17	46103533	46115392	-0.170724333333333
ENSG00000005249	PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:9392]	protein_coding	7	106685094	106802256	-0.8322835
ENSG00000005379	BZRAP1	benzodiazepine receptor (peripheral) associated protein 1 [Source:HGNC Symbol;Acc:16831]	protein_coding	17	56378592	56406152	-0.343695
ENSG00000005381	MPO	myeloperoxidase [Source:HGNC Symbol;Acc:7218]	protein_coding	17	56347217	56358296	0.0143616666666667
ENSG00000005421	PON1	paraoxonase 1 [Source:HGNC Symbol;Acc:9204]	protein_coding	7	94926988	94954019	0.169740411764706
ENSG00000005436	GCFC2	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:1317]	protein_coding	2	75879126	75938115	1.15755590909091
ENSG00000005448	WDR54	WD repeat domain 54 [Source:HGNC Symbol;Acc:25770]	protein_coding	2	74648805	74652882	1.07820075
ENSG00000005469	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:2366]	protein_coding	7	86974997	87029111	-1.11260371428571
ENSG00000005471	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4 [Source:HGNC Symbol;Acc:45]	protein_coding	7	87031013	87109751	-0.494317
ENSG00000005483	KMT2E	lysine (K)-specific methyltransferase 2E [Source:HGNC Symbol;Acc:18541]	protein_coding	7	104654769	104754808	-0.34638
ENSG00000005486	RHBDD2	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:23082]	protein_coding	7	75471920	75518244	2.02465627272727
ENSG00000005513	SOX8	SRY (sex determining region Y)-box 8 [Source:HGNC Symbol;Acc:11203]	protein_coding	16	1031808	1036979	-0.5988725
ENSG00000005700	IBTK	inhibitor of Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:17853]	protein_coding	6	82879700	82957471	0.357223333333333
ENSG00000005801	ZNF195	zinc finger protein 195 [Source:HGNC Symbol;Acc:12986]	protein_coding	11	3360491	3400448	0.548281
ENSG00000005810	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:23386]	protein_coding	13	77618792	77901185	-1.3723
ENSG00000005812	FBXL3	F-box and leucine-rich repeat protein 3 [Source:HGNC Symbol;Acc:13599]	protein_coding	13	77566740	77601330	-0.8757182
ENSG00000005844	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) [Source:HGNC Symbol;Acc:6148]	protein_coding	16	30483979	30534506	0.404976666666667
ENSG00000005882	PDK2	pyruvate dehydrogenase kinase, isozyme 2 [Source:HGNC Symbol;Acc:8810]	protein_coding	17	48172101	48187403	0.653329578947368
ENSG00000005884	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]	protein_coding	17	48133332	48167845	0.453685
ENSG00000005955	GGNBP2	gametogenetin binding protein 2 [Source:HGNC Symbol;Acc:19357]	protein_coding	17	34900737	34946278	2.24086143333333
ENSG00000005961	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]	protein_coding	17	42449548	42466873	0.888
ENSG00000005981	ASB4	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:16009]	protein_coding	7	95107756	95169544	-0.40051412
ENSG00000006007	GDE1	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:29644]	protein_coding	16	19513212	19533467	0.0855565
ENSG00000006015	C19orf60	chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:26098]	protein_coding	19	18699535	18703146	-0.14889
ENSG00000006016	CRLF1	cytokine receptor-like factor 1 [Source:HGNC Symbol;Acc:2364]	protein_coding	19	18683418	18718551	-0.0459632
ENSG00000006025	OSBPL7	oxysterol binding protein-like 7 [Source:HGNC Symbol;Acc:16387]	protein_coding	17	45884738	45899200	0.314705142857143
ENSG00000006042	TMEM98	transmembrane protein 98 [Source:HGNC Symbol;Acc:24529]	protein_coding	17	31254928	31272124	-1.42760038461538
ENSG00000006047	YBX2	Y box binding protein 2 [Source:HGNC Symbol;Acc:17948]	protein_coding	17	7191577	7197934	0.6239328
ENSG00000006059	KRT33A	keratin 33A [Source:HGNC Symbol;Acc:6450]	protein_coding	17	39502344	39507064	0.3422
ENSG00000006062	MAP3K14	mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:6853]	processed_transcript	17	43340759	43394414	-0.95122
ENSG00000006071	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]	protein_coding	11	17414432	17498449	0.729577818181818
ENSG00000006075	CCL3	chemokine (C-C motif) ligand 3 [Source:HGNC Symbol;Acc:10627]	protein_coding	17	34415602	34417487	0.094
ENSG00000006114	SYNRG	synergin, gamma [Source:HGNC Symbol;Acc:557]	protein_coding	17	35874900	35969544	-0.9534563125
ENSG00000006116	CACNG3	calcium channel, voltage-dependent, gamma subunit 3 [Source:HGNC Symbol;Acc:1407]	protein_coding	16	24266874	24374122	0.51414
ENSG00000006118	TMEM132A	transmembrane protein 132A [Source:HGNC Symbol;Acc:31092]	protein_coding	11	60691935	60704555	-0.2309021
ENSG00000006125	AP2B1	adaptor-related protein complex 2, beta 1 subunit [Source:HGNC Symbol;Acc:563]	protein_coding	17	33913918	34053436	-1.14919777777778
ENSG00000006128	TAC1	tachykinin, precursor 1 [Source:HGNC Symbol;Acc:11517]	protein_coding	7	97361220	97369784	-1.87671225
ENSG00000006194	ZNF263	zinc finger protein 263 [Source:HGNC Symbol;Acc:13056]	protein_coding	16	3313743	3341460	-1.55717316666667
ENSG00000006282	SPATA20	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]	protein_coding	17	48623667	48633213	0.73218925
ENSG00000006283	CACNA1G	calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:HGNC Symbol;Acc:1394]	protein_coding	17	48638429	48704835	0.19991
ENSG00000006327	TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A [Source:HGNC Symbol;Acc:18152]	protein_coding	16	3068486	3072384	-0.81671
ENSG00000006377	DLX6	distal-less homeobox 6 [Source:HGNC Symbol;Acc:2919]	protein_coding	7	96634860	96640351	0.432027
ENSG00000006432	MAP3K9	mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:6861]	protein_coding	14	71189243	71276251	0.357275294117647
ENSG00000006451	RALA	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:9839]	protein_coding	7	39663082	39747723	0.457793666666667
ENSG00000006453	BAIAP2L1	BAI1-associated protein 2-like 1 [Source:HGNC Symbol;Acc:21649]	protein_coding	7	97920963	98030380	0.188211235294118
ENSG00000006459	JHDM1D	lysine (K)-specific demethylase 7A [Source:HGNC Symbol;Acc:22224]	protein_coding	7	139784546	139876835	1.4621
ENSG00000006468	ETV1	ets variant 1 [Source:HGNC Symbol;Acc:3490]	protein_coding	7	13930853	14031050	0.5366
ENSG00000006530	AGK	acylglycerol kinase [Source:HGNC Symbol;Acc:21869]	protein_coding	7	141251105	141355044	-0.362892222222222
ENSG00000006534	ALDH3B1	aldehyde dehydrogenase 3 family, member B1 [Source:HGNC Symbol;Acc:410]	protein_coding	11	67776048	67796743	0.025494
ENSG00000006555	TTC22	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:26067]	protein_coding	1	55245385	55266940	-0.812348
ENSG00000006606	CCL26	chemokine (C-C motif) ligand 26 [Source:HGNC Symbol;Acc:10625]	protein_coding	7	75398851	75419214	-0.00680599999999999
ENSG00000006607	FARP2	FERM, RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:16460]	protein_coding	2	242295658	242431094	0.449029838709677
ENSG00000006611	USH1C	Usher syndrome 1C (autosomal recessive, severe) [Source:HGNC Symbol;Acc:12597]	protein_coding	11	17515442	17565963	0.0724576
ENSG00000006625	GGCT	gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:21705]	protein_coding	7	30536237	30544460	-1.299589875
ENSG00000006634	DBF4	DBF4 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:17364]	protein_coding	7	87505673	87538856	0.659255
ENSG00000006638	TBXA2R	thromboxane A2 receptor [Source:HGNC Symbol;Acc:11608]	protein_coding	19	3594504	3606838	-1.1195404
ENSG00000006652	IFRD1	interferon-related developmental regulator 1 [Source:HGNC Symbol;Acc:5456]	protein_coding	7	112063023	112121045	0.0352652571428571
ENSG00000006695	COX10	cytochrome c oxidase assembly homolog 10 (yeast) [Source:HGNC Symbol;Acc:2260]	protein_coding	17	13972813	14111994	0.82117825
ENSG00000006712	PAF1	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25459]	protein_coding	19	39876492	39881835	1.256082
ENSG00000006715	VPS41	vacuolar protein sorting 41 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:12713]	protein_coding	7	38762563	38971994	0.358947964285714
ENSG00000006740	ARHGAP44	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:29096]	protein_coding	17	12692856	12894960	-0.0147288888888889
ENSG00000006744	ELAC2	elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:14198]	protein_coding	17	12895708	12921504	-2.766224
ENSG00000006747	SCIN	scinderin [Source:HGNC Symbol;Acc:21695]	protein_coding	7	12610475	12693228	-0.617337928571429
ENSG00000006788	MYH13	myosin, heavy chain 13, skeletal muscle [Source:HGNC Symbol;Acc:7571]	protein_coding	17	10201401	10276447	-1.67169
ENSG00000006831	ADIPOR2	adiponectin receptor 2 [Source:HGNC Symbol;Acc:24041]	protein_coding	12	1797740	1897844	1.421354
ENSG00000006837	CDKL3	cyclin-dependent kinase-like 3 [Source:HGNC Symbol;Acc:15483]	protein_coding	5	133621932	133706738	1.890924
ENSG00000007001	UPP2	uridine phosphorylase 2 [Source:HGNC Symbol;Acc:23061]	protein_coding	2	158733214	158992666	0.224545
ENSG00000007038	PRSS21	protease, serine, 21 (testisin) [Source:HGNC Symbol;Acc:9485]	protein_coding	16	2867164	2876305	0.280485
ENSG00000007047	MARK4	MAP/microtubule affinity-regulating kinase 4 [Source:HGNC Symbol;Acc:13538]	protein_coding	19	45754516	45808541	0.8952874
ENSG00000007062	PROM1	prominin 1 [Source:HGNC Symbol;Acc:9454]	protein_coding	4	15965871	16086001	0.722600636363636
ENSG00000007080	CCDC124	coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:25171]	protein_coding	19	18043825	18054800	-0.0985534285714286
ENSG00000007129	CEACAM21	carcinoembryonic antigen-related cell adhesion molecule 21 [Source:HGNC Symbol;Acc:28834]	protein_coding	19	42055886	42093197	-0.791824791666667
ENSG00000007171	NOS2	nitric oxide synthase 2, inducible [Source:HGNC Symbol;Acc:7873]	protein_coding	17	26083792	26127525	-2.68687657894737
ENSG00000007174	DNAH9	dynein, axonemal, heavy chain 9 [Source:HGNC Symbol;Acc:2953]	protein_coding	17	11501748	11873065	0.140276
ENSG00000007202	KIAA0100	KIAA0100 [Source:HGNC Symbol;Acc:28960]	protein_coding	17	26941458	26972472	0.25337
ENSG00000007237	GAS7	growth arrest-specific 7 [Source:HGNC Symbol;Acc:4169]	protein_coding	17	9813926	10101868	0.822585
ENSG00000007255	TRAPPC6A	trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:23069]	protein_coding	19	45666186	45681495	-1.2601112
ENSG00000007264	MATK	megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:6906]	protein_coding	19	3777971	3802127	-1.27046
ENSG00000007306	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7 [Source:HGNC Symbol;Acc:1819]	protein_coding	19	42177235	42210895	0.1047555
ENSG00000007312	CD79B	CD79b molecule, immunoglobulin-associated beta [Source:HGNC Symbol;Acc:1699]	protein_coding	17	62006100	62009714	-0.771961133333333
ENSG00000007341	ST7L	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:18441]	protein_coding	1	113081781	113163447	1.41864955813953
ENSG00000007372	PAX6	paired box 6 [Source:HGNC Symbol;Acc:8620]	protein_coding	11	31806340	31839509	0.0463158571428571
ENSG00000007376	RPUSD1	RNA pseudouridylate synthase domain containing 1 [Source:HGNC Symbol;Acc:14173]	protein_coding	16	834974	837981	-0.659908571428571
ENSG00000007384	RHBDF1	rhomboid 5 homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:20561]	protein_coding	16	108058	126354	0.08617925
ENSG00000007402	CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2 [Source:HGNC Symbol;Acc:1400]	protein_coding	3	50400233	50541675	-0.3028366
ENSG00000007516	BAIAP3	BAI1-associated protein 3 [Source:HGNC Symbol;Acc:948]	protein_coding	16	1383602	1399240	1.13617683333333
ENSG00000007520	TSR3	TSR3, 20S rRNA accumulation, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:14175]	protein_coding	16	1399440	1401912	0.368115
ENSG00000007541	PIGQ	phosphatidylinositol glycan anchor biosynthesis, class Q [Source:HGNC Symbol;Acc:14135]	protein_coding	16	616995	634136	0.265346894736842
ENSG00000007545	CRAMP1L	Crm, cramped-like (Drosophila) [Source:HGNC Symbol;Acc:14122]	protein_coding	16	1662326	1727909	-0.19740725
ENSG00000007866	TEAD3	TEA domain family member 3 [Source:HGNC Symbol;Acc:11716]	protein_coding	6	35441374	35464853	-0.113408
ENSG00000007908	SELE	selectin E [Source:HGNC Symbol;Acc:10718]	protein_coding	1	169691781	169733846	-0.1694695
ENSG00000007923	DNAJC11	DnaJ (Hsp40) homolog, subfamily C, member 11 [Source:HGNC Symbol;Acc:25570]	protein_coding	1	6695647	6761984	0.78519
ENSG00000007933	FMO3	flavin containing monooxygenase 3 [Source:HGNC Symbol;Acc:3771]	protein_coding	1	171060018	171086959	-1.23491255
ENSG00000007944	MYLIP	myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:21155]	protein_coding	6	16129356	16148479	1.01482883333333
ENSG00000007968	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:3114]	protein_coding	1	23832922	23857712	0.3650295
ENSG00000008018	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1 [Source:HGNC Symbol;Acc:9537]	protein_coding	6	170844205	170862429	-1.25279129166667
ENSG00000008083	JARID2	jumonji, AT rich interactive domain 2 [Source:HGNC Symbol;Acc:6196]	protein_coding	6	15246527	15522252	-0.22018175
ENSG00000008118	CAMK1G	calcium/calmodulin-dependent protein kinase IG [Source:HGNC Symbol;Acc:14585]	protein_coding	1	209757062	209787283	-0.13750625
ENSG00000008130	NADK	NAD kinase [Source:HGNC Symbol;Acc:29831]	protein_coding	1	1682671	1711896	-1.22375025
ENSG00000008196	TFAP2B	transcription factor AP-2 beta (activating enhancer binding protein 2 beta) [Source:HGNC Symbol;Acc:11743]	protein_coding	6	50786436	50815326	-0.168195833333333
ENSG00000008226	DLEC1	deleted in lung and esophageal cancer 1 [Source:HGNC Symbol;Acc:2899]	protein_coding	3	38080696	38165040	1.557737
ENSG00000008256	CYTH3	cytohesin 3 [Source:HGNC Symbol;Acc:9504]	protein_coding	7	6201407	6312275	-0.603408
ENSG00000008277	ADAM22	ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:201]	protein_coding	7	87563458	87832204	0.330082785714286
ENSG00000008282	SYPL1	synaptophysin-like 1 [Source:HGNC Symbol;Acc:11507]	protein_coding	7	105730949	105753022	0.07780425
ENSG00000008283	CYB561	cytochrome b561 [Source:HGNC Symbol;Acc:2571]	protein_coding	17	61509665	61523739	1.33769613333333
ENSG00000008294	SPAG9	sperm associated antigen 9 [Source:HGNC Symbol;Acc:14524]	protein_coding	17	49039535	49198226	0.763236
