ENSG_ID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END
ENSG00000001631	KRIT1	KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:1573]	protein_coding	7	91828283	91875480
ENSG00000002016	RAD52	RAD52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:9824]	protein_coding	12	1021243	1099219
ENSG00000002330	BAD	BCL2-associated agonist of cell death [Source:HGNC Symbol;Acc:936]	protein_coding	11	64037302	64052141
ENSG00000002549	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:18449]	protein_coding	4	17578815	17609595
ENSG00000002587	HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]	protein_coding	4	11394774	11431389
ENSG00000002726	AOC1	amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:80]	protein_coding	7	150521715	150558592
ENSG00000002745	WNT16	wingless-type MMTV integration site family, member 16 [Source:HGNC Symbol;Acc:16267]	protein_coding	7	120965421	120981158
ENSG00000002746	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:22195]	protein_coding	7	43152198	43605600
ENSG00000002822	MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast) [Source:HGNC Symbol;Acc:6762]	protein_coding	7	1855429	2272878
ENSG00000002834	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:6513]	protein_coding	17	37026112	37078023
ENSG00000002919	SNX11	sorting nexin 11 [Source:HGNC Symbol;Acc:14975]	protein_coding	17	46180719	46200436
ENSG00000002933	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:24930]	protein_coding	7	150497622	150502208
ENSG00000003137	CYP26B1	cytochrome P450, family 26, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:20581]	protein_coding	2	72356367	72375167
ENSG00000003147	ICA1	islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:5343]	protein_coding	7	8152814	8302209
ENSG00000003249	DBNDD1	dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:HGNC Symbol;Acc:28455]	protein_coding	16	90071273	90086451
ENSG00000003393	ALS2	amyotrophic lateral sclerosis 2 (juvenile) [Source:HGNC Symbol;Acc:443]	protein_coding	2	202565277	202645912
ENSG00000003400	CASP10	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]	protein_coding	2	202047604	202094129
ENSG00000003402	CFLAR	CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:1876]	protein_coding	2	201980827	202041410
ENSG00000003436	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:11760]	protein_coding	2	188328957	188430487
ENSG00000003509	NDUFAF7	NADH dehydrogenase (ubiquinone) complex I, assembly factor 7 [Source:HGNC Symbol;Acc:28816]	protein_coding	2	37458857	37480546
ENSG00000003756	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:9902]	protein_coding	3	50126341	50156454
ENSG00000003987	MTMR7	myotubularin related protein 7 [Source:HGNC Symbol;Acc:7454]	protein_coding	8	17155539	17270836
ENSG00000003989	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:11060]	protein_coding	8	17354597	17428082
ENSG00000004059	ARF5	ADP-ribosylation factor 5 [Source:HGNC Symbol;Acc:658]	protein_coding	7	127228399	127231462
ENSG00000004139	SARM1	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:17074]	protein_coding	17	26692138	26728065
ENSG00000004142	POLDIP2	polymerase (DNA-directed), delta interacting protein 2 [Source:HGNC Symbol;Acc:23781]	protein_coding	17	26674036	26684545
ENSG00000004399	PLXND1	plexin D1 [Source:HGNC Symbol;Acc:9107]	protein_coding	3	129274018	129325661
ENSG00000004455	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:362]	protein_coding	1	33473585	33546597
ENSG00000004468	CD38	CD38 molecule [Source:HGNC Symbol;Acc:1667]	protein_coding	4	15779898	15854853
ENSG00000004487	KDM1A	lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:29079]	protein_coding	1	23345941	23410182
ENSG00000004534	RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:9903]	protein_coding	3	49977440	50114683
ENSG00000004660	CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1, alpha [Source:HGNC Symbol;Acc:1469]	protein_coding	17	3763609	3796338
ENSG00000004700	RECQL	RecQ protein-like (DNA helicase Q1-like) [Source:HGNC Symbol;Acc:9948]	protein_coding	12	21623903	21654603
ENSG00000004766	CCDC132	coiled-coil domain containing 132 [Source:HGNC Symbol;Acc:25956]	protein_coding	7	92861653	92988338
ENSG00000004777	ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:23085]	protein_coding	19	36265434	36279724
ENSG00000004779	NDUFAB1	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa [Source:HGNC Symbol;Acc:7694]	protein_coding	16	23592323	23607677
ENSG00000004799	PDK4	pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:8812]	protein_coding	7	95212811	95225803
ENSG00000004809	SLC22A16	solute carrier family 22 (organic cation/carnitine transporter), member 16 [Source:HGNC Symbol;Acc:20302]	protein_coding	6	110745890	110797844
ENSG00000004838	ZMYND10	zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:19412]	protein_coding	3	50378660	50384283
ENSG00000004864	SLC25A13	solute carrier family 25 (aspartate/glutamate carrier), member 13 [Source:HGNC Symbol;Acc:10983]	protein_coding	7	95749532	95951459
ENSG00000004866	ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:11351]	protein_coding	7	116654942	116870157
ENSG00000004897	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:1728]	protein_coding	17	45195069	45266788
ENSG00000004939	SLC4A1	solute carrier family 4 (anion exchanger), member 1 (Diego blood group) [Source:HGNC Symbol;Acc:11027]	protein_coding	17	42325753	42345509
ENSG00000004975	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:3086]	protein_coding	17	7128660	7137864
ENSG00000005001	PRSS22	protease, serine, 22 [Source:HGNC Symbol;Acc:14368]	protein_coding	16	2902728	2908171
ENSG00000005007	UPF1	UPF1 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:9962]	protein_coding	19	18942747	18979045
ENSG00000005020	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:15687]	protein_coding	7	26706681	27034858
ENSG00000005059	CCDC109B	coiled-coil domain containing 109B [Source:HGNC Symbol;Acc:26076]	protein_coding	4	110481361	110609784
ENSG00000005075	POLR2J	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa [Source:HGNC Symbol;Acc:9197]	protein_coding	7	102113616	102119354
ENSG00000005100	DHX33	DEAH (Asp-Glu-Ala-His) box polypeptide 33 [Source:HGNC Symbol;Acc:16718]	protein_coding	17	5344232	5372380
ENSG00000005102	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:7013]	protein_coding	17	41717756	41739322
ENSG00000005108	THSD7A	thrombospondin, type I, domain containing 7A [Source:HGNC Symbol;Acc:22207]	protein_coding	7	11409984	11871824
ENSG00000005156	LIG3	ligase III, DNA, ATP-dependent [Source:HGNC Symbol;Acc:6600]	protein_coding	17	33307513	33332083
ENSG00000005175	RPAP3	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:26151]	protein_coding	12	48057070	48099844
ENSG00000005187	ACSM3	acyl-CoA synthetase medium-chain family member 3 [Source:HGNC Symbol;Acc:10522]	protein_coding	16	20621565	20807446
ENSG00000005189	AC004381.6	Putative RNA exonuclease NEF-sp  [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2]	protein_coding	16	20817999	20860987
ENSG00000005194	CIAPIN1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:28050]	protein_coding	16	57462081	57481348
ENSG00000005206	SPPL2B	signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:30627]	processed_transcript	19	2328620	2355099
ENSG00000005238	FAM214B	family with sequence similarity 214, member B [Source:HGNC Symbol;Acc:25666]	protein_coding	9	35104109	35116338
ENSG00000005243	COPZ2	coatomer protein complex, subunit zeta 2 [Source:HGNC Symbol;Acc:19356]	protein_coding	17	46103533	46115392
ENSG00000005249	PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:9392]	protein_coding	7	106685094	106802256
ENSG00000005379	BZRAP1	benzodiazepine receptor (peripheral) associated protein 1 [Source:HGNC Symbol;Acc:16831]	protein_coding	17	56378592	56406152
ENSG00000005381	MPO	myeloperoxidase [Source:HGNC Symbol;Acc:7218]	protein_coding	17	56347217	56358296
ENSG00000005421	PON1	paraoxonase 1 [Source:HGNC Symbol;Acc:9204]	protein_coding	7	94926988	94954019
ENSG00000005436	GCFC2	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:1317]	protein_coding	2	75879126	75938115
ENSG00000005448	WDR54	WD repeat domain 54 [Source:HGNC Symbol;Acc:25770]	protein_coding	2	74648805	74652882
ENSG00000005469	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:2366]	protein_coding	7	86974997	87029111
ENSG00000005471	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4 [Source:HGNC Symbol;Acc:45]	protein_coding	7	87031013	87109751
ENSG00000005483	KMT2E	lysine (K)-specific methyltransferase 2E [Source:HGNC Symbol;Acc:18541]	protein_coding	7	104654769	104754808
ENSG00000005486	RHBDD2	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:23082]	protein_coding	7	75471920	75518244
ENSG00000005513	SOX8	SRY (sex determining region Y)-box 8 [Source:HGNC Symbol;Acc:11203]	protein_coding	16	1031808	1036979
ENSG00000005700	IBTK	inhibitor of Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:17853]	protein_coding	6	82879700	82957471
ENSG00000005801	ZNF195	zinc finger protein 195 [Source:HGNC Symbol;Acc:12986]	protein_coding	11	3360491	3400448
ENSG00000005810	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:23386]	protein_coding	13	77618792	77901185
ENSG00000005812	FBXL3	F-box and leucine-rich repeat protein 3 [Source:HGNC Symbol;Acc:13599]	protein_coding	13	77566740	77601330
ENSG00000005844	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) [Source:HGNC Symbol;Acc:6148]	protein_coding	16	30483979	30534506
ENSG00000005882	PDK2	pyruvate dehydrogenase kinase, isozyme 2 [Source:HGNC Symbol;Acc:8810]	protein_coding	17	48172101	48187403
ENSG00000005884	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]	protein_coding	17	48133332	48167845
ENSG00000005955	GGNBP2	gametogenetin binding protein 2 [Source:HGNC Symbol;Acc:19357]	protein_coding	17	34900737	34946278
ENSG00000005961	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]	protein_coding	17	42449548	42466873
ENSG00000005981	ASB4	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:16009]	protein_coding	7	95107756	95169544
ENSG00000006007	GDE1	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:29644]	protein_coding	16	19513212	19533467
ENSG00000006015	C19orf60	chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:26098]	protein_coding	19	18699535	18703146
ENSG00000006016	CRLF1	cytokine receptor-like factor 1 [Source:HGNC Symbol;Acc:2364]	protein_coding	19	18683418	18718551
ENSG00000006025	OSBPL7	oxysterol binding protein-like 7 [Source:HGNC Symbol;Acc:16387]	protein_coding	17	45884738	45899200
ENSG00000006042	TMEM98	transmembrane protein 98 [Source:HGNC Symbol;Acc:24529]	protein_coding	17	31254928	31272124
ENSG00000006047	YBX2	Y box binding protein 2 [Source:HGNC Symbol;Acc:17948]	protein_coding	17	7191577	7197934
ENSG00000006059	KRT33A	keratin 33A [Source:HGNC Symbol;Acc:6450]	protein_coding	17	39502344	39507064
ENSG00000006062	MAP3K14	mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:6853]	processed_transcript	17	43340759	43394414
ENSG00000006071	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]	protein_coding	11	17414432	17498449
ENSG00000006075	CCL3	chemokine (C-C motif) ligand 3 [Source:HGNC Symbol;Acc:10627]	protein_coding	17	34415602	34417487
ENSG00000006114	SYNRG	synergin, gamma [Source:HGNC Symbol;Acc:557]	protein_coding	17	35874900	35969544
ENSG00000006116	CACNG3	calcium channel, voltage-dependent, gamma subunit 3 [Source:HGNC Symbol;Acc:1407]	protein_coding	16	24266874	24374122
ENSG00000006118	TMEM132A	transmembrane protein 132A [Source:HGNC Symbol;Acc:31092]	protein_coding	11	60691935	60704555
ENSG00000006125	AP2B1	adaptor-related protein complex 2, beta 1 subunit [Source:HGNC Symbol;Acc:563]	protein_coding	17	33913918	34053436
ENSG00000006128	TAC1	tachykinin, precursor 1 [Source:HGNC Symbol;Acc:11517]	protein_coding	7	97361220	97369784
ENSG00000006194	ZNF263	zinc finger protein 263 [Source:HGNC Symbol;Acc:13056]	protein_coding	16	3313743	3341460
ENSG00000006282	SPATA20	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]	protein_coding	17	48623667	48633213
ENSG00000006283	CACNA1G	calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:HGNC Symbol;Acc:1394]	protein_coding	17	48638429	48704835
ENSG00000006327	TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A [Source:HGNC Symbol;Acc:18152]	protein_coding	16	3068486	3072384
ENSG00000006377	DLX6	distal-less homeobox 6 [Source:HGNC Symbol;Acc:2919]	protein_coding	7	96634860	96640351
ENSG00000006432	MAP3K9	mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:6861]	protein_coding	14	71189243	71276251
ENSG00000006451	RALA	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:9839]	protein_coding	7	39663082	39747723
ENSG00000006453	BAIAP2L1	BAI1-associated protein 2-like 1 [Source:HGNC Symbol;Acc:21649]	protein_coding	7	97920963	98030380
ENSG00000006459	JHDM1D	lysine (K)-specific demethylase 7A [Source:HGNC Symbol;Acc:22224]	protein_coding	7	139784546	139876835
ENSG00000006468	ETV1	ets variant 1 [Source:HGNC Symbol;Acc:3490]	protein_coding	7	13930853	14031050
ENSG00000006530	AGK	acylglycerol kinase [Source:HGNC Symbol;Acc:21869]	protein_coding	7	141251105	141355044
ENSG00000006534	ALDH3B1	aldehyde dehydrogenase 3 family, member B1 [Source:HGNC Symbol;Acc:410]	protein_coding	11	67776048	67796743
ENSG00000006555	TTC22	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:26067]	protein_coding	1	55245385	55266940
ENSG00000006606	CCL26	chemokine (C-C motif) ligand 26 [Source:HGNC Symbol;Acc:10625]	protein_coding	7	75398851	75419214
ENSG00000006607	FARP2	FERM, RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:16460]	protein_coding	2	242295658	242431094
ENSG00000006611	USH1C	Usher syndrome 1C (autosomal recessive, severe) [Source:HGNC Symbol;Acc:12597]	protein_coding	11	17515442	17565963
ENSG00000006625	GGCT	gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:21705]	protein_coding	7	30536237	30544460
ENSG00000006634	DBF4	DBF4 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:17364]	protein_coding	7	87505673	87538856
ENSG00000006638	TBXA2R	thromboxane A2 receptor [Source:HGNC Symbol;Acc:11608]	protein_coding	19	3594504	3606838
ENSG00000006652	IFRD1	interferon-related developmental regulator 1 [Source:HGNC Symbol;Acc:5456]	protein_coding	7	112063023	112121045
ENSG00000006695	COX10	cytochrome c oxidase assembly homolog 10 (yeast) [Source:HGNC Symbol;Acc:2260]	protein_coding	17	13972813	14111994
ENSG00000006712	PAF1	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25459]	protein_coding	19	39876492	39881835
ENSG00000006715	VPS41	vacuolar protein sorting 41 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:12713]	protein_coding	7	38762563	38971994
ENSG00000006740	ARHGAP44	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:29096]	protein_coding	17	12692856	12894960
ENSG00000006744	ELAC2	elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:14198]	protein_coding	17	12895708	12921504
ENSG00000006747	SCIN	scinderin [Source:HGNC Symbol;Acc:21695]	protein_coding	7	12610475	12693228
ENSG00000006788	MYH13	myosin, heavy chain 13, skeletal muscle [Source:HGNC Symbol;Acc:7571]	protein_coding	17	10201401	10276447
ENSG00000006831	ADIPOR2	adiponectin receptor 2 [Source:HGNC Symbol;Acc:24041]	protein_coding	12	1797740	1897844
ENSG00000006837	CDKL3	cyclin-dependent kinase-like 3 [Source:HGNC Symbol;Acc:15483]	protein_coding	5	133621932	133706738
ENSG00000007001	UPP2	uridine phosphorylase 2 [Source:HGNC Symbol;Acc:23061]	protein_coding	2	158733214	158992666
ENSG00000007038	PRSS21	protease, serine, 21 (testisin) [Source:HGNC Symbol;Acc:9485]	protein_coding	16	2867164	2876305
ENSG00000007047	MARK4	MAP/microtubule affinity-regulating kinase 4 [Source:HGNC Symbol;Acc:13538]	protein_coding	19	45754516	45808541
ENSG00000007062	PROM1	prominin 1 [Source:HGNC Symbol;Acc:9454]	protein_coding	4	15965871	16086001
ENSG00000007080	CCDC124	coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:25171]	protein_coding	19	18043825	18054800
ENSG00000007129	CEACAM21	carcinoembryonic antigen-related cell adhesion molecule 21 [Source:HGNC Symbol;Acc:28834]	protein_coding	19	42055886	42093197
ENSG00000007171	NOS2	nitric oxide synthase 2, inducible [Source:HGNC Symbol;Acc:7873]	protein_coding	17	26083792	26127525
ENSG00000007174	DNAH9	dynein, axonemal, heavy chain 9 [Source:HGNC Symbol;Acc:2953]	protein_coding	17	11501748	11873065
ENSG00000007202	KIAA0100	KIAA0100 [Source:HGNC Symbol;Acc:28960]	protein_coding	17	26941458	26972472
ENSG00000007237	GAS7	growth arrest-specific 7 [Source:HGNC Symbol;Acc:4169]	protein_coding	17	9813926	10101868
ENSG00000007255	TRAPPC6A	trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:23069]	protein_coding	19	45666186	45681495
ENSG00000007264	MATK	megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:6906]	protein_coding	19	3777971	3802127
ENSG00000007306	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7 [Source:HGNC Symbol;Acc:1819]	protein_coding	19	42177235	42210895
ENSG00000007312	CD79B	CD79b molecule, immunoglobulin-associated beta [Source:HGNC Symbol;Acc:1699]	protein_coding	17	62006100	62009714
ENSG00000007341	ST7L	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:18441]	protein_coding	1	113081781	113163447
ENSG00000007372	PAX6	paired box 6 [Source:HGNC Symbol;Acc:8620]	protein_coding	11	31806340	31839509
ENSG00000007376	RPUSD1	RNA pseudouridylate synthase domain containing 1 [Source:HGNC Symbol;Acc:14173]	protein_coding	16	834974	837981
ENSG00000007384	RHBDF1	rhomboid 5 homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:20561]	protein_coding	16	108058	126354
ENSG00000007402	CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2 [Source:HGNC Symbol;Acc:1400]	protein_coding	3	50400233	50541675
ENSG00000007516	BAIAP3	BAI1-associated protein 3 [Source:HGNC Symbol;Acc:948]	protein_coding	16	1383602	1399240
ENSG00000007520	TSR3	TSR3, 20S rRNA accumulation, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:14175]	protein_coding	16	1399440	1401912
ENSG00000007541	PIGQ	phosphatidylinositol glycan anchor biosynthesis, class Q [Source:HGNC Symbol;Acc:14135]	protein_coding	16	616995	634136
ENSG00000007545	CRAMP1L	Crm, cramped-like (Drosophila) [Source:HGNC Symbol;Acc:14122]	protein_coding	16	1662326	1727909
ENSG00000007866	TEAD3	TEA domain family member 3 [Source:HGNC Symbol;Acc:11716]	protein_coding	6	35441374	35464853
ENSG00000007908	SELE	selectin E [Source:HGNC Symbol;Acc:10718]	protein_coding	1	169691781	169733846
ENSG00000007923	DNAJC11	DnaJ (Hsp40) homolog, subfamily C, member 11 [Source:HGNC Symbol;Acc:25570]	protein_coding	1	6695647	6761984
ENSG00000007933	FMO3	flavin containing monooxygenase 3 [Source:HGNC Symbol;Acc:3771]	protein_coding	1	171060018	171086959
ENSG00000007944	MYLIP	myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:21155]	protein_coding	6	16129356	16148479
ENSG00000007968	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:3114]	protein_coding	1	23832922	23857712
ENSG00000008018	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1 [Source:HGNC Symbol;Acc:9537]	protein_coding	6	170844205	170862429
ENSG00000008083	JARID2	jumonji, AT rich interactive domain 2 [Source:HGNC Symbol;Acc:6196]	protein_coding	6	15246527	15522252
ENSG00000008118	CAMK1G	calcium/calmodulin-dependent protein kinase IG [Source:HGNC Symbol;Acc:14585]	protein_coding	1	209757062	209787283
ENSG00000008130	NADK	NAD kinase [Source:HGNC Symbol;Acc:29831]	protein_coding	1	1682671	1711896
ENSG00000008196	TFAP2B	transcription factor AP-2 beta (activating enhancer binding protein 2 beta) [Source:HGNC Symbol;Acc:11743]	protein_coding	6	50786436	50815326
ENSG00000008226	DLEC1	deleted in lung and esophageal cancer 1 [Source:HGNC Symbol;Acc:2899]	protein_coding	3	38080696	38165040
ENSG00000008256	CYTH3	cytohesin 3 [Source:HGNC Symbol;Acc:9504]	protein_coding	7	6201407	6312275
ENSG00000008277	ADAM22	ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:201]	protein_coding	7	87563458	87832204
ENSG00000008282	SYPL1	synaptophysin-like 1 [Source:HGNC Symbol;Acc:11507]	protein_coding	7	105730949	105753022
ENSG00000008283	CYB561	cytochrome b561 [Source:HGNC Symbol;Acc:2571]	protein_coding	17	61509665	61523739
ENSG00000008294	SPAG9	sperm associated antigen 9 [Source:HGNC Symbol;Acc:14524]	protein_coding	17	49039535	49198226
ENSG00000008300	CELSR3	cadherin, EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:3230]	protein_coding	3	48673902	48700348
ENSG00000008311	AASS	aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:17366]	protein_coding	7	121716187	121784334
ENSG00000008324	SS18L2	synovial sarcoma translocation gene on chromosome 18-like 2 [Source:HGNC Symbol;Acc:15593]	protein_coding	3	42623332	42636606
ENSG00000008382	MPND	MPN domain containing [Source:HGNC Symbol;Acc:25934]	protein_coding	19	4343524	4360083
ENSG00000008394	MGST1	microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:7061]	protein_coding	12	16500076	16762193
ENSG00000008405	CRY1	cryptochrome 1 (photolyase-like) [Source:HGNC Symbol;Acc:2384]	protein_coding	12	107385142	107487607
ENSG00000008438	PGLYRP1	peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:8904]	protein_coding	19	46522411	46526323
ENSG00000008513	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:10862]	protein_coding	8	134467091	134584183
ENSG00000008516	MMP25	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:14246]	protein_coding	16	3096682	3110727
ENSG00000008517	IL32	interleukin 32 [Source:HGNC Symbol;Acc:16830]	protein_coding	16	3115298	3131908
ENSG00000008710	PKD1	polycystic kidney disease 1 (autosomal dominant) [Source:HGNC Symbol;Acc:9008]	protein_coding	16	2138717	2185899
ENSG00000008735	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:6883]	protein_coding	22	51039114	51052409
ENSG00000008838	MED24	mediator complex subunit 24 [Source:HGNC Symbol;Acc:22963]	protein_coding	17	38175350	38217468
ENSG00000008853	RHOBTB2	Rho-related BTB domain containing 2 [Source:HGNC Symbol;Acc:18756]	protein_coding	8	22844930	22877645
ENSG00000008952	SEC62	SEC62 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:11846]	protein_coding	3	169684523	169716161
ENSG00000008988	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:10405]	protein_coding	8	56979854	56987069
ENSG00000009307	CSDE1	cold shock domain containing E1, RNA-binding [Source:HGNC Symbol;Acc:29905]	protein_coding	1	115259534	115301297
ENSG00000009335	UBE3C	ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:16803]	protein_coding	7	156931607	157062066
ENSG00000009413	REV3L	REV3-like, polymerase (DNA directed), zeta, catalytic subunit [Source:HGNC Symbol;Acc:9968]	protein_coding	6	111620234	111804432
